label,text
0,"TOPIC: We should ban male infant circumcision [SEP] Finland's Ministry of Social Affairs and Health reported in 2004 that, some 500-1000 circumcisions are performed as a therapeutic measure annually in Finnish hospitals, amounting to 710 nationwide cases in 2002. [SEP] The Catholic Church condemned the observance of circumcision as a mortal sin and ordered against its practice in the Council of Basel-Florence in 1442."
1,"TOPIC: We should fight illegal immigration [SEP] As a member of the Assembly, Jones has expressed strong support for the Second Amendment, opposition to illegal immigration, and a desire to see reforms aimed at curtailing the influence of public-sector labor unions. [SEP] Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants."
1,"TOPIC: We should subsidize biofuels [SEP] In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place. [SEP] As part of the announcement, the Commission clarified that it will publish a report on the impacts of indirect land use by the end of 2010, as requested in the Renewable Energy Directive and on the basis of recently released reports that suggest that biofuels are saving greenhouse gas emissions."
1,"TOPIC: We should increase gun control [SEP] Zinga opposes gun control and strongly supports the American effort in Iraq in the context of the larger war on terrorism. [SEP] Bartolucci and Attorney General Chris Bentley appealed to the federal government to introduce stricter gun control legislation in March 2008, including a ban on handguns."
0,"TOPIC: We should fight illegal immigration [SEP] McCrory argued that illegal immigration has brought gang activity to the state, and was straining the resources of public schools and services. [SEP] The Israeli economic commentator Nehemiah Shtrasler estimated that the illegal immigrants take the places of weaker manual workers, causing loss of jobs and a reduction in the wages."
0,"TOPIC: We should further exploit geothermal energy [SEP] The latest study of Massachusetts Institute of Technology The Future of Geothermal Energy - Impact of Enhanced Geothermal Systems (EGS) on the United States in the 21st Century (2006) points out the essential importance of developing an economical deep geothermal boring technology. [SEP] Development plans such as those by World Wide Assets LLC for entire cities using only geothermal energy for electricity, geothermal desalination, and employing full recycling systems for water and waste are under development (2006) in Mexico and Australia."
1,"TOPIC: We should further exploit wind turbines [SEP] In the 1890s a Danish scientist, Poul la Cour, constructed wind turbines to generate electricity, which was then used to produce hydrogen for experiments and light and the Askov Highschool. [SEP] The wind turbines will help determine which source of renewable energy is the most efficient for the state of Connecticut to use, as well as provide energy for the school."
1,"TOPIC: We should prohibit hydraulic fracturing [SEP] Dr. Anthony Ingraffea, D. C. Baum Professor of Engineering at Cornell University, whose research has involved fracture mechanics for more than 30 years, has said that drilling and hydraulic fracturing can liberate biogenic natural gas into a fresh water aquifer. [SEP] The NYC Dept. of Environmental Protection's position: While DEP is mindful of the potential economic opportunity that this represents for the State, hydraulic fracturing poses an unacceptable threat to the unfiltered water supply of nine million New Yorkers and cannot safely be permitted with the New York City watershed. ."
0,"TOPIC: Sex education should be mandatory [SEP] Some international organizations such as Planned Parenthood consider that broad sex education programs have global benefits, such as controlling the risk of overpopulation and the advancement of women's rights (see also reproductive rights). [SEP] The letter protested against the lack of sufficient sex and relationships education in schools, and that the UK Youth Parliament believe that this has led to increasing teenage pregnancy."
1,"TOPIC: We should adopt socialism [SEP] In Economics and the Public Purpose (1973) Galbraith advocates a new socialism as the solution, nationalising military production and public services such as health care, introducing disciplined miss u salary and price controls to reduce inequality. [SEP] Although Du Bois was not yet familiar with the communist theories of Marx or Lenin, he concluded that socialism may be a better path towards racial equality than capitalism."
1,"TOPIC: We should legalize prostitution [SEP] According to the National Criminal Police, it is clear that the ban on the purchase of sexual services acts as a barrier to human traffickers and procurers considering establishing themselves in Sweden. [SEP] As noted by the US report, Some Canadian NGOs such as Vancouver Rape Relief and Sisyphe believe that keeping prostitution illegal is the best way to prevent human trafficking, forced prostitution, child prostitution and similar abusive activities."
0,TOPIC: Abstinence-only sex education should be mandatory [SEP] Evidence has not supported the effective use of abstinence-only sex education. [SEP] Romney has declared his support for abstinence-only sex education in public schools.
1,"TOPIC: We should subsidize condoms [SEP] In 2009, she criticized Pope Benedict XVI over his comments that condoms only worsen the AIDS crisis. [SEP] Green said that according to the best studies, condoms makes people take wilder sexual risks, thus worsening the spread of the disease."
1,"TOPIC: We should ban partial birth abortions [SEP] Also in his first year as governor Huckabee signed a partial birth abortion ban and a $7.6 Million Smart Start program for primary school students to learn the basic skills of reading, math, and character. [SEP] In 1999 and 2003, Daschle voted in favor of the ban on so-called partial-birth abortion, and supported legislation making it a crime to harm a fetus when someone attacks a pregnant woman."
1,"TOPIC: We should subsidize biofuels [SEP] Located in an area that has suffered the devastating environmental impact of the industrial practices of the late 19th through the mid 20th centuries, South Shore Clean Cities is dedicated to preserving and revitalizing Northern Indiana by promoting the use of clean fuels and clean vehicles technology. [SEP] On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, called biofuels a crime against humanity, a claim he had previously made in October 2007, when he called for a 5-year ban for the conversion of land for the production of biofuels."
1,"TOPIC: We should increase government regulation [SEP] The regulated expression of H19, from biallelic to monoallelic, throughout embryonic development suggests that regulation is essential for the growth of embryonic and extraembryonic tissues. [SEP] And like most industries with pollution problems, chemical manufacturers oppose meddlesome government regulations that make it more difficult and expensive for them to do business."
0,"TOPIC: Sex education should be mandatory [SEP] Planned Parenthood, which advocates family planning and sex education, argues that no studies have shown abstinence-only programs to result in delayed intercourse, and cites surveys showing that 76% of American parents want their children to receive comprehensive sexuality education including condom use. [SEP] A recent American Psychological Association (APA) press release supported the inclusion of information about condoms in sex education, saying comprehensive sexuality education programs.. discuss the appropriate use of condoms, and promote condom use for those who are sexually active. ."
0,"TOPIC: We should adopt socialism [SEP] Azad developed a close friendship with Nehru and began espousing socialism as the means to fight inequality, poverty and other national challenges. [SEP] In a similar vein, Pierre-Joseph Proudhon claimed that socialism is every aspiration towards the amelioration of society."
1,"TOPIC: We should further exploit wind power [SEP] German engineering company Siemens announced in July 2010, following a visit to Russia by Chancellor Angela Merkel, that it would build wind power plants in Russia. [SEP] Mukash hopes to convince the Government of Quebec and Hydro-Québec to pursue wind power as an alternative source of economic development and energy."
1,"TOPIC: We should end affirmative action [SEP] In July 2008, USA Today reported that McCain said Sunday that he favors a proposed referendum in Arizona that would ban affirmative action, reversing a position he took a decade ago. [SEP] Sander's paper on mismatching has been refuted by several law professors, including Ian Ayres and Richard Brooks from Yale who use Sander's data to show that eliminating affirmative action would actually reduce the number of black lawyers by 12.7%."
1,TOPIC: We should further exploit wind power [SEP] The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option. [SEP] A 2009 poll conducted by Portland-based Critical Insights shows that 90% of Maine people support the development of wind power as a source of electricity.
0,"TOPIC: We should end affirmative action [SEP] In Fisher v. University of Texas at Austin, the APALC submitted a brief supporting the University of Texas in preserving the use of affirmative action in admissions, saying Asian students benefited from exposure to a diverse student body. [SEP] Hardin's last book The Ostrich Factor: Our Population Myopia (1999), a warning about the threat of overpopulation to the Earth's sustainable economic future, called for coercive constraints on unqualified reproductive rights and argued that affirmative action is a form of racism."
1,"TOPIC: We should ban partial birth abortions [SEP] Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba. [SEP] Otter is pro-life and has voted to ban federal funding of abortions and opposes partial-birth abortions."
0,"TOPIC: We should abolish the right to keep and bear arms [SEP] The Second Amendment (Amendment II) to the United States Constitution is the part of the United States Bill of Rights that protects the right of the people to keep and bear arms. [SEP] Led by Leon Woods, the goal of the NSF was to violently overthrow the U.S. government and restore the right of the nation's citizens to bear arms."
1,TOPIC: We should abandon coal mining [SEP] The Anvil Hill Alliance includes community and environment groups in NSW opposed to the expansion of coal mines in his high conservation value region. [SEP] Hansen said that mountaintop removal for coal mining [provides] only a small fraction of our energy and should be abolished.
0,"TOPIC: We should prohibit corporal punishment [SEP] UNESCO recommends that corporal punishment be prohibited in schools, homes and institutions as a form of discipline, and alleges that it is a violation of human rights as well as counterproductive, ineffective, dangerous and harmful to children. [SEP] Baumrind has studied the effects of corporal punishment on children, and has concluded that mild spanking, in the context of an authoritative (NOT authoritarian) parenting style, is unlikely to have a significant detrimental effect, if one is careful to control for other variables such as socioeconomic status."
0,"TOPIC: We should end international aid [SEP] Moyo, who has a Doctorate in Economics from Oxford University, and a Masters from Harvard's Kennedy School of Government, believes foreign aid is easy money that fosters corruption and distorts economies, creating a culture of dependency and economic laziness. . [SEP] On March 12, 1947, to gain Congressional support for the aid, U.S. President Harry Truman described the aid as promoting democracy in defence of the free world, a principle that became known as the Truman Doctrine."
1,"TOPIC: We should ban partial birth abortions [SEP] The DLC opposed the partial birth abortion ban, the expiration of the 1994 assault weapon ban, the Clear Skies Initiative, and what they perceived as a lack of funding of the Community Oriented Policing Services (COPS) program. [SEP] Also in his first year as governor Huckabee signed a partial birth abortion ban and a $7.6 Million Smart Start program for primary school students to learn the basic skills of reading, math, and character."
0,"TOPIC: We should further exploit hydroelectric dams [SEP] In 2008, the state government of Arunachal Pradesh signed deals with various Indian companies planning some 42 hydroelectric schemes that will produce electricity in excess of 27,000 MW. [SEP] In 1906, W.W. Van Arsdale formed the Eel River Power and Irrigation Company and contracted with the city of Ukiah for a hydroelectric generating station to increase electricity supply for the city."
1,"TOPIC: We should subsidize condoms [SEP] In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS. [SEP] A 2006 study reports that proper condom use decreases the risk of transmission of human papillomavirus to women by approximately 70%."
0,"TOPIC: We should increase gun control [SEP] Although the Brazilian Government, the Catholic Church, and the United Nations, argued in favor of a gun ban, it was argued successfully that guns are needed for personal security. [SEP] The Sporting Shooters Association of Australia states that there is no evidence that gun control restrictions in 1987, 1996 and 2002 had any impact on the already established trends."
1,"TOPIC: Abstinence-only sex education should be mandatory [SEP] Organizations such as SIECUS have called abstinence-only programs fear-based, and designed to control young people's sexual behavior by instilling fear, shame, and guilt. [SEP] Holsinger said that abstinence education is one way to prevent sexually transmitted diseases and unwanted teen pregnancy but also supported educating teenagers about condom use."
0,"TOPIC: We should legalize cannabis [SEP] Proponents of fully decriminalizing cannabis to allow the regulated cultivation and sale of cannabis, including Law Enforcement Against Prohibition, argue that fully decriminalizing cannabis would largely decrease financial gains earned by gangs in black market cannabis sales and trafficking. [SEP] Francis L. Young, an administrative law judge with the United States Drug Enforcement Agency declared in 1988 that, in its natural form, [cannabis] is one of the safest therapeutically active substances known."
0,"TOPIC: We should increase government regulation [SEP] In October 2007, a public opinion poll taken by the Japanese government showed that 86.5% of respondents favored regulation on art depicting child pornography, while 90.9% endorsed regulation of harmful materials on the Internet. [SEP] Huberty, a survivalist, saw signs of growing trouble in America, believing that government meddling and regulation was the cause of business failures and unemployment, including his own."
0,"TOPIC: We should introduce universal health care [SEP] Greene advocated free universal health care, saying that the United States should model its system on Austria, Britain, or Canada. [SEP] In April 2010, Koroma sign into law the country's free health care program for pregnant women, nursing mothers and children under the age of five."
0,TOPIC: We should prohibit corporal punishment [SEP] Some psychological research is held to indicate that corporal punishment causes the deterioration of trust bonds between parents and children. [SEP] The UK Government responded that the use of physical punishment is a matter for individual parents to decide.
0,"TOPIC: We should prohibit corporal punishment [SEP] Although spanking is legal in the United States, as early as 1985 The New York Times stated that most child-care experts today disapprove of physical punishment. . [SEP] Larzelere, like most experts who believe spanking is not always detrimental, believes that certain guidelines must be kept in mind if parents choose to use corporal punishment."
1,"TOPIC: We should legalize cannabis [SEP] The Drug Enforcement Agency has reported that cannabis sales and trafficking support violent criminal gangs. [SEP] In his petition, Gettman also argues that cannabis is an acceptably safe medication."
0,TOPIC: We should abolish the monarchy [SEP] Political parties agreed in 1991 that the monarchy would remain to enhance political stability and provide an important symbol of national identity for the culturally diverse Nepali people. [SEP] The Gulf states were especially inclined to fear an Iranian victory after Khomeini announced that monarchy was an illegitimate and un-Islamic form of government.
0,"TOPIC: We should subsidize condoms [SEP] Dr. Bernardo Villegas cites the work of Dr. Edward C. Green, Director of Harvard's AIDS Prevention Center to say that more condoms promote the spread of AIDS. [SEP] In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and actually makes the problem worse."
1,"TOPIC: We should introduce school vouchers [SEP] Education According to the candidates' questionnaire, Casey opposes school vouchers. [SEP] LePage supports a school voucher system and structuring pay to reward teachers for performance."
0,"TOPIC: Bullfighting should be banned [SEP] In 2011, the government in Catalonia, a region in Spain, passed a motion to outlaw bull fighting which came into effect on January 1, 2012. [SEP] The King has allegedly stated, that the day the EU bans bullfighting is the day Spain leaves the EU."
1,"TOPIC: We should end international aid [SEP] James Shikwati, a Kenyan economist, has argued that foreign aid causes harm to the recipient nations, specifically because aid is distributed by local politicians, finances the creation of corrupt government such as that led by Dr Fredrick Chiluba in Zambia bureaucracies, and hollows out the local economy. [SEP] Some think tanks and NGOs have argued that Western monetary aid often only serves to increase poverty and social inequality, either because it is conditioned with the implementation of harmful economic policies in the recipient countries, or because it's tied with the importing of products from the donor country over cheaper alternatives."
0,"TOPIC: We should legalize prostitution [SEP] The Association for the Promotion of Women in Romania opposes legalized prostitution, as they view prostitution as another form of violence against women and girls. [SEP] On November 3, 2009, Governor Donald Carcieri signed into law a bill which makes the buying and selling of sexual services a crime."
0,"TOPIC: We should further exploit geothermal energy [SEP] Geothermal energy is an enormous, underused heat and power resource that is clean (emits little or no greenhouse gases), reliable (average system availability of 95%), and homegrown (making populations less dependent on oil). [SEP] Aside from research in the fields of solar energy, biomass, geothermal energy, energy efficiency and new energies, an international Master of Science degree in Renewable Energy Management is being offered."
1,"TOPIC: We should subsidize condoms [SEP] In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS. [SEP] Two surveys conducted in New York in 1890 and 1900 found that 45% of the women surveyed were using condoms to prevent pregnancy."
0,TOPIC: We should legalize cannabis [SEP] A national telephone survey conducted in 1993 found that between 52% and 55% of Australians believed that growing and possessing cannabis for personal use should be legalised. [SEP] A study of twins by researchers at Virginia Commonwealth University showed that cannabis use in adolescence strongly predicted later use of multiple drugs.
1,"TOPIC: We should prohibit hydraulic fracturing [SEP] The Green Party of New York advocates a ban on hydraulic fracturing, which was brought up in the gubernatorial debate by Howie Hawkins. [SEP] A 2011 Cornell University study found that natural gas extracted by hydraulic fracturing may contribute as much to global warming as coal, or more so."
0,"TOPIC: We should abolish the monarchy [SEP] According to a 2002 poll by Ipsos-Reid, 79% of Canadians supported the constitutional monarchy as Canada's form of government where we elect governments whose leader becomes Prime Minister, and a further 62% believed the monarchy helped to define Canada's identity. [SEP] The International Monarchist League, founded in 1943, which has been very influential in Canada and Australia, has always sought to promote monarchy on the grounds that it strengthens popular liberty, both in a democracy and in a dictatorship, because by definition the monarch is not beholden to politicians."
1,"TOPIC: We should further exploit wind power [SEP] The report highlights wind power's potential in 2020 as three times greater than Europe's expected electricity demand, rising to a factor of seven by 2030. [SEP] The U.S. Department of Energy's report 20% Wind Energy by 2030 envisioned that wind power could supply 20% of all U.S. electricity, which included a contribution of 4% from offshore wind power."
0,"TOPIC: We should abolish the right to keep and bear arms [SEP] The Second Amendment to the Constitution of the United States gives a right to bear arms. [SEP] Despite his past, Joe no longer supports the unequivocal right to bear arms."
1,"TOPIC: We should increase gun control [SEP] Scozzafava opposes gun control and has a lifetime A rating from the National Rifle Association. [SEP] Instead, Leo approaches an African American congressman with an appeal that the gun ban will save African American lives."
1,"TOPIC: We should end affirmative action [SEP] In February 2007, Sarkozy appeared on a televised debate on TF1 where he expressed his support for affirmative action and the freedom to work overtime. [SEP] In addition, Mercer opposes affirmative action and argues against the therapeutic society that seeks to attribute individuals' negative or criminal actions to disease or social disorders."
1,"TOPIC: We should adopt vegetarianism [SEP] Organizations including People for the Ethical Treatment of Animals (PETA) criticized Gore for not advocating vegetarianism as a way for individuals to reduce their carbon footprint. [SEP] Nicholas Stern, the author of the 2006 Stern Review on climate change has stated people will need to turn vegetarian if the world is to conquer climate change."
1,"TOPIC: We should adopt socialism [SEP] As an economist, Williams is a proponent of free market economics and opposes socialist systems of government intervention. [SEP] In a similar vein, Pierre-Joseph Proudhon claimed that socialism is every aspiration towards the amelioration of society."
0,"TOPIC: Sex education should be mandatory [SEP] Palin supports sex education in public schools that encourage abstinence along with teaching about contraception. [SEP] As a supporter of orthodox Christian morality, Hitchens opposes sex education in schools."
1,TOPIC: We should further exploit wind power [SEP] The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option. [SEP] EWEA has predicted that wind power will cover 13-16 % of EU electricity consumption with 180 GW capacity (2020).
0,"TOPIC: We should legalize prostitution [SEP] Anti-prostitution feminists point out prostitution is obviously harmful in many ways to those who are directly involved in it. [SEP] In July 1941, President Franklin D. Roosevelt had signed into law a federal ban on prostitution near naval and military bases."
1,"TOPIC: We should introduce universal health care [SEP] Over the course of his Senate career and continuing into the Obama administration, Kennedy continued his efforts to enact universal health care, which he called the cause of my life. . [SEP] Advocates argue that shifting the US to a single-payer health care system would provide universal coverage, give patients free choice of providers and hospitals, and guarantee comprehensive coverage and equal access for all medically necessary procedures, without increasing overall spending."
0,TOPIC: We should end international aid [SEP] The economist William Easterly and others have argued that aid can often distort incentives in poor countries in various harmful ways. [SEP] Kenyan economist James Shikwati says in an interview with Der Spiegel: aid to Africa does more harm than good.
0,"TOPIC: We should introduce universal health care [SEP] In Solved!, Emanuel said that Universal Healthcare Vouchers would solve the problem of rapidly increasing health care costs, which, rising at three times the rate of inflation, would result in higher copayments, fewer benefits, stagnant wages and fewer employers willing to pay for health care benefits. [SEP] Franklin pointed that Cuba is well-developed in health care and was once the only nation in Latin America to offer universal free health care, and with the help of Cuba, Venezuela has been able to give free health care to many of its citizens; thus the both countries respect health care as a basic human right."
0,"TOPIC: We should ban male infant circumcision [SEP] As a result of these findings, the WHO and the Joint United Nations Programme on HIV/AIDS (UNAIDS) stated that male circumcision is an efficacious intervention for HIV prevention but should be carried out by well trained medical professionals and under conditions of informed consent. [SEP] Both the WHO and CDC indicate that circumcision may not reduce HIV transmission from men to women, and that data is lacking for the transmission rate of men who engage in anal sex with a female partner."
0,"TOPIC: We should ban partial birth abortions [SEP] Thomas further noted that the gruesome nature of some partial-birth abortions has caused personal trauma in the doctors performing them. [SEP] For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion."
1,"TOPIC: We should end international aid [SEP] Edward Walker, former ambassador to Egypt noted Aid offers an easy way out for Egypt to avoid reform. [SEP] Mosley's result was further confirmed by Peter Boone who argued that aid is ineffective because it tends to finance consumption rather than investments."
0,"TOPIC: We should prohibit hydraulic fracturing [SEP] Stringer hosted many Manhattan Community Boards to discuss the potential problems associated with fracking, such as contamination to the water supply. [SEP] The Bârlad City Hall, led by Constantin Constantinescu, started a campaign to collect signatures against the exploitation of shale gas through hydraulic fracture process."
0,"TOPIC: We should further exploit hydroelectric dams [SEP] One study shows that a hydroelectric dam in the Amazon has 3.6 times larger greenhouse effect per kW•h than electricity production from oil, due to large scale emission of methane from decaying organic material, though this is most significant as river valleys are initially flooded, and are of much less consequence for more boreal dams. [SEP] In DC, supporters of the dam, which later included state and federal officials, argued for the dam as a source of hydroelectric power and that it could stimulate the state's economy but local energy providers opposed the possibility of a state-run electric utility."
0,"TOPIC: We should further exploit geothermal energy [SEP] In 2007, geothermal energy provided about 66 percent of primary energy, the share of hydropower was 15 percent, and fossil fuels (mainly oil) 19 percent. [SEP] The Wyoming Geothermal Outreach Program aims to increase public awareness of opportunities in geothermal energy, as it works with government and industry to improve the state's regulatory and economic environment."
1,"TOPIC: We should further exploit wind turbines [SEP] In June 2007, Pickens announced the intention to build the world's largest wind farm by installing large wind turbines in parts of four Texas Panhandle counties. [SEP] In Australia, the Dunlite Corporation built hundreds of small wind generators to provide power at isolated postal service stations and farms."
1,"TOPIC: We should legalize polygamy [SEP] Romney's paternal great-grandparents practiced plural marriage, and went to Mexico in 1884 after the 1878 U.S. Supreme Court decision in Reynolds v. United States that upheld laws banning polygamy. [SEP] Ramzan Kadyrov, President of the Chechen Republic, has been quoted on radio as saying that the depopulation of Chechnya by war justifies legalizing polygamy."
1,"TOPIC: We should end affirmative action [SEP] The Center for Individual Rights has asked the U.S. Sixth Circuit Court of Appeals to overturn Judge Lawson's ruling and force the universities to adhere to the ban on affirmative action immediately. [SEP] The justification for affirmative action is that it helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture, and to address existing discrimination."
0,"TOPIC: We should end affirmative action [SEP] The justification for affirmative action is that it helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture, and to address existing discrimination. [SEP] Elkins' views were influential during the late 1960s when Daniel Patrick Moynihan, supported Affirmative action programs in order to counteract the lingering effects of slavery on black culture."
0,"TOPIC: We should legalize polygamy [SEP] A 2005 report by the Alberta Civil Liberties Research Centre recommended that Canada decriminalize polygamy, stating: Criminalization is not the most effective way of dealing with gender inequality in polygamous and plural union relationships. [SEP] In 2003, Director of the Israeli Population Administration Department, Herzl Gedj, described polygamy in the Bedouin sector a security threat and advocated various means of reducing the Arab birth rate."
1,"TOPIC: We should prohibit hydraulic fracturing [SEP] Stringer hosted many Manhattan Community Boards to discuss the potential problems associated with fracking, such as contamination to the water supply. [SEP] A study published in May 2011 concluded that fracking has seriously contaminated shallow groundwater supplies in northeast Pennsylvania with flammable methane."
0,"TOPIC: We should ban male infant circumcision [SEP] A 2006 meta-analysis of observational data from twenty-six studies found that circumcision was associated with lower rates of syphilis, chancroid and possibly genital herpes. [SEP] The Catholic Church condemned the observance of circumcision as a mortal sin and ordered against its practice in the Council of Basel-Florence in 1442."
0,"TOPIC: We should further exploit geothermal energy [SEP] The HVAC system has been converted to using geo-thermal energy to help reduce dependence on foreign oil as well as save money. [SEP] In 1991, Indonesia Geothermal Association (Asosiasi Panasbumi Indonesia - API), a non-governmental organisation, was established to promote geothermal energy."
0,"TOPIC: Sex education should be mandatory [SEP] In an attempt to reverse the increasing numbers of teenage pregnancies, governments in many Western countries have instituted sex education programs, the main objective of which is to reduce such pregnancies and STD's. [SEP] A recent American Psychological Association (APA) press release supported the inclusion of information about condoms in sex education, saying comprehensive sexuality education programs.. discuss the appropriate use of condoms, and promote condom use for those who are sexually active. ."
1,"TOPIC: We should prohibit corporal punishment [SEP] On social issues, Harper argued for parental rights to use corporal punishment against their children and supported raising the age of sexual consent. [SEP] Although spanking is legal in the United States, as early as 1985 The New York Times stated that most child-care experts today disapprove of physical punishment. ."
0,"TOPIC: We should end international aid [SEP] Moyo, who has a Doctorate in Economics from Oxford University, and a Masters from Harvard's Kennedy School of Government, believes foreign aid is easy money that fosters corruption and distorts economies, creating a culture of dependency and economic laziness. . [SEP] James Shikwati, a Kenyan economist, has argued that foreign aid causes harm to the recipient nations, specifically because aid is distributed by local politicians, finances the creation of corrupt government such as that led by Dr Fredrick Chiluba in Zambia bureaucracies, and hollows out the local economy."
0,"TOPIC: We should prohibit hydraulic fracturing [SEP] GASLAND has a critically important message that people need to hear-that hydraulic fracturing, the gas drilling technology that is sweeping the nation, is completely unregulated by the federal government and poses unacceptable risks to drinking water supplies throughout the country, especially New York City's drinking water supply from upstate New York, Gennaro said in a release. [SEP] Proponents say that hydraulic fracturing would give the United States energy independence, however, United States oil and natural gas companies have recently sought to build a new pipeline through Pennsylvania and Maryland to new liquid natural gas export terminals in Maryland, in order to increase profits by exporting gas to Europe and Asia (e.g.,"
0,"TOPIC: We should ban male infant circumcision [SEP] The authors said, Male circumcision provides a degree of protection against acquiring HIV infection, equivalent to what a vaccine of high efficacy would have achieved. [SEP] A meta-analysis of data from fifteen observational studies of men who have sex with men found insufficient evidence that male circumcision protects against HIV infection or other STIs. ."
0,"TOPIC: We should ban partial birth abortions [SEP] As Chairman of the House Subcommittee on the Constitution, Chabot authored the legislation to ban the practice of partial-birth abortion. [SEP] For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion."
0,"TOPIC: We should fight illegal immigration [SEP] McCrory argued that illegal immigration has brought gang activity to the state, and was straining the resources of public schools and services. [SEP] In 2007, President George W. Bush called for Congress to endorse his guest worker proposal, stating that illegal immigrants took jobs that Americans would not take."
0,"TOPIC: We should legalize cannabis [SEP] Writing in the Canadian Medical Association Journal, smoking cannabis from a pipe may significantly relieve chronic pain in patients with damaged nerves. [SEP] In 1974 Dr Robert DuPont, the White House drug czar, began to publicly support decriminalization of cannabis, seeing cannabis as a health problem."
