link_type,linked,text
0,1,"When Senator Obama was first asked, he said, ""Any place, any time,"" the way Barry Goldwater and Jack Kennedy agreed to do, before the intervention of the tragedy at Dallas. [SEP] I think the tone of this campaign could have been very different"
2,0,No longer do we give an image of vitality. [SEP] We've got to become energy independent for that reason
2,0,"the soldiers there have a higher rate of re-enlistment than anywhere else in the service. [SEP] a nuclear Iran is a threat to our national security, and it is a threat to Israel's national security"
0,1,"unfortunately, there’s been a lot of very divisive, dark things said about Muslims. [SEP] I’ve heard this question from a lot of Muslim-Americans across our country"
2,0,"he would be doing exactly the wrong thing. [SEP] We think it can be fixed, needs to be fixed"
2,0,Look at Russia.. [SEP] I voted for border security
0,1,we've taken 90 percent of the coalition casualties. [SEP] American taxpayers have borne 90 percent of the costs of the effort in Iraq
2,0,"So I want very much to save what works and is good about the Affordable Care Act. [SEP] he says invest government, grow government"
2,0,"Hamas won. [SEP] you're busting every American family, those who can afford it the least"
2,0,One reason family farmers are forced to sell early is because of the death tax. [SEP] we've got to get help from the Congress in order to do this
0,1,which goes a step farther than Governor Bush has been willing to go. [SEP] I do have mandatory testing
0,1,"in the meantime, the special prosecutor, within the last few days, after an investigation himself, said there was no reason for him to get involved because he found nothing that would justify it. [SEP] I think the matter is closed once and for all"
2,0,I strongly supported the Motor Voter law. [SEP] I've recommended that our doctors be given a set of national practice guidelines
2,0,It basically protected states from the action of one state to another. [SEP] Their actions in Georgia were unacceptable
2,0,there is this pattern that has plagued him in the primaries and now about trying to have it both ways on all these issues. [SEP] That's not wishy- washy
0,1,"he opposed even President Carter, when toward the end of his term President Carter wanted to increase the defense budget. [SEP] he has a record of weakness with regard to our national defense that is second to none"
2,0,"They’re called poll watchers, a very safe, very nice thing.. those will be the policies of this administration"
1,1,"Absolutely not. [SEP] When you total up all the federal spending he wants to do, it's the largest increase in federal spending in years"
2,0,It's happened in families. [SEP] it's expensive
2,0,"But it wasn't just that experience tapped into, it was my connection to the heartland of America. [SEP] I'm going to keep on vetoing them"
0,1,Look at what she did in Libya with Gadhafi. [SEP] They end up being worse than the people
0,1,keeping the interest rates at this level. [SEP] we have a Fed that's doing political things
2,0,If you didn’t know. [SEP] I'm opposed to these policies as well.
0,1,A free Iraq is essential for the security of this country. [SEP] this is a vital mission
1,1,"How stupid is our country?. [SEP] Why do they have to say we’re going to be attacking Mosul within the next four to six weeks, which is what they’re saying"
0,1,We need to have accountability. [SEP] We need to demand on results
2,0,I don't believe she does have the stamina. [SEP] here's what I've done since I've been president
2,0,I heard more of the same. [SEP] we did
0,1,Middle-class people need the help. [SEP] They do not need it
2,0,A commitment to grow the economy while protecting the environment. [SEP] I'm an environmentalist
2,0,We cannot just say law and order. [SEP] She won’t say the name and President Obama won’t say the name
2,0,"determines what kind of education in their public schools they can get. [SEP] Terrorism is very, very difficult to slop"
1,1,"It's time to get something done. [SEP] In eight years they haven't gotten anything done on Medicare, on Social Security, a patient's bill of rights"
2,0,"During the Depression era, we had a thing called the home ownership loan corporation. [SEP] I think we ought to take a different tack"
2,0,we'll get the rest of that tax relief. [SEP] we are going to have to create a new conservation ethic in the minds of the American people
2,0,"George Bush, a few years ago, said that Social Security was basically a welfare system. [SEP] We have one of the most advanced patient's bill of rights"
2,0,Cuba is not lost. [SEP] The fact happens to be that education spending is up by the federal government
0,1,Let them reach out beyond the confines of the current structure to recruit teach-for-the-children type teachers. [SEP] we have to consolidate the federal programs to free districts to free the schools and encourage innovators like Michael
2,0,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.. Donald knows a lot about this"
0,1,"Mr. Bush is right - the two go hand in hand. [SEP] I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention"
2,0,In my opinion they're going to be de- be greater. [SEP] We've done a lot to give the people more powers to make their own decisions over their own lives
1,1,Made with Chinese steel. [SEP] I sat in my apartment today on a very beautiful hotel down the street known as Trump
2,0,I'm going to put in place a better homeland security effort. [SEP] that's what I'll do as president
0,1,The auto worker in Toledo who was unemployed when I was elected and now has a great job because we're number one in auto production again. [SEP] the things I do as president are basically driven by the people whose lives I have seen affected by what does or doesn't happen in this country
1,1,ecognizing that you can't legislate morality. [SEP] I will do my level best to clean it up
2,0,I thought it was right. [SEP] The president likes to say he has a plan
0,1,where you were on that day. [SEP] a lot of you remember the tragedy of 9/11
0,1,"Any proposals that I made at that time were at the request of the chairman, a Democrat, of one of the leading committees,. [SEP] we made a proposal"
0,1,I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out. [SEP] we've got to attend to them
0,1,you can spend your money more wisely than the federal government can. [SEP] I want to have tax relief for all people who pay the bills in America
0,1,President Bill Clinton promised to create 8 million jobs. [SEP] That is a record of promises made and promises kept
0,1,"Right now, the credit markets are frozen up. [SEP] small businesses and some large businesses just can't get loans"
2,0,"I hate drugs. [SEP] I remember one day on the floor I said now, gentlemen, let me tax your memories, and Kennedy jumped up and said, why haven't we thought of that before"
1,1,the world would have been a lot worse off. [SEP] I was hopeful diplomacy would work in Iraq
2,0,He talks about a smaller government. [SEP] You can't have a consequence for somebody without fear of getting sued under federal law
2,0,that upset them. [SEP] She talks in favor of the rebels
2,0,to work with our neighbors in this hemisphere. [SEP] now I'm an academic
2,0,"We do have a plan for withdrawal. [SEP] if Social Security is a very important program, it should -- it will be preserved"
0,1,"with his policies, we might be back in that same mess. [SEP] it's conceivable that Governor Romney could bring down gas prices"
2,0,Not only not costing people jobs. [SEP] the President opposed and defeated
2,0,"That is one of the major challenges and major undertakings that I will assume as the next president. [SEP] under these circumstances, I, therefore, strongly urge and I will strongly hold"
0,1,"People don't dare -- medical practitioners, to help somebody along the highway that are hurt. [SEP] One thing to blame is these malpractice lawsuits"
0,1,I haven't heard how his policy is going to be different with Israel than George Bush's. [SEP] I haven't heard anything yet
2,0,The uh - description just made of this administration's record is hard to uh - recognize. [SEP] we're going to have to make some smart choices right now
0,1,"We’re down at 1 percent. [SEP] If China has a GDP of 7 percent, it’s like a national catastrophe"
0,1,"What I'm going to do is say to Jim Baker when this campaign is over, all right, let's sit down now, you do in domestic affairs what you've done in foreign affairs, be kind of the economic coordinator of all the domestic side of the House, and that includes all the economic side, all the training side, and bring this program together. [SEP] I've already put forward things that'll get this country working fast"
0,1,the president has a regular opportunity to label them as a currency manipulator. [SEP] refuses to do so
2,0,"we have a duty to our country and to future generations of America to achieve a free Iraq, a free Afghanistan, and to rid the world of weapons of mass destruction. [SEP] You've got to have the best intelligence in the world"
0,1,"It's not the only case where Bill Clinton has provided such leadership. [SEP] Bill Clinton, as President, has provided that kind of leadership"
0,1,"including young people who may have dropped out of school. [SEP] When it comes to community colleges, we are setting up programs, including with Nassau Community College, to retrain workers"
2,0,it's essential that we make sure that we keep weapons of mass destruction out of the hands of people like Al Qaida. [SEP] We won the Cold War
2,0,they noticed that you skipped Israel. [SEP] The best thing I had going for me was I had no contact with Washington for all those years
2,0,I talk to Tony Blair all the time. [SEP] I've got a strategy for the Middle East
2,0,"use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security. [SEP] our military is the strongest, best-trained, best-equipped, best-led fighting force in the world and in the history of the world"
2,0,"when I'm president, we'll make sure we bring our troops out by the end of 2014. as we rely more and more on other countries that don't care as much about the climate as we do, we're allowing them to produce and to emit and even pollute more than America would ever stand for"
0,1,you have to give all your intellectual property. [SEP] We would not do that at all
2,0,He suggested that we aid distressed areas. [SEP] I know that the people you pick make an enormous difference in your ability to govern
2,0,"I ran the -- the state of Massachusetts as a governor, to the extent any governor does, and balanced the budget all four years. [SEP] Both of you pledged to take the high road in this campaign yet it has turned very nasty"
2,0,That was facilitated in part because we had ended the war in Iraq. [SEP] 23 million people struggling to get a job
0,1,"Hamas won. [SEP] It has been an abject failure, this administration's policy"
2,0,We also agree and believe and pledge that the surplus in the Medicare trust fund should also be locked up with a sign on it that says politicians keep your hands off. [SEP] We expect to have a lower deficit in fiscal year 1978
0,1,Cocaine use up 160 percent. [SEP] it seems to me what we need to do is to talk about not only tobacco but drugs
2,0,"Ann's dad was born in Wales and is a first-generation American. [SEP] we tried this before, promising people an election year tax cut that's not paid for"
2,0,"we ought to have to limit -- we ought to have a much longer period of time, about 5 years, between the time when people can leave executive branch offices and then go out and start lobbying for foreign interests. [SEP] ermit us to deal with the developing nations in a position of strength."
2,0,"We've been for that for four, five, six years. [SEP] I said starting back in June that he was not fit to be president and commander-in-chief"
0,1,Missy understood that. [SEP] I think it's worth it
0,1,"President Kennedy in his inaugural address told all of us that here on Earth, God's work must truly be our own. [SEP] All of those things come out of that fundamental teaching and belief of faith"
1,1,"he forgot Poland. [SEP] when we went in, there were three countries: Great Britain, Australia and the United States"
0,1,That's been his philosophy in the private sector. [SEP] He has a one-point plan
2,0,"what I think needs to happen in order to encourage the young to become involved is to shoot straight, is to set aside the partisan differences, and set an agenda that will make sense. [SEP] that's what I've seen you do in this Administration"
2,0,"We're going to make sure that the American people know the truth about why we are using force and what the explanation for it is. [SEP] certainly there's no comparison here between what happened to the S&amp;Ls and where the banks stand right now, in my view"
2,0,"It's very unlike World War II, when FDR's sons flew missions. [SEP] What we really should focus on tonight is what we still have to do to help the American people make the most of this future that's out there"
0,1,"I happen to believe in the people. [SEP] believe that the people are supposed to be dominant in our society -- that they, not government, are to have control of their own affairs to the greatest extent possible, with an orderly society"
0,1,"to find responsible parties. [SEP] We should have taken a leading role, not militarily, but a leading role organizationally, governmentally to bring together the parties"
2,0,"not do anything in cutting costs which would cause hundreds of hospitals to close which could have been the case if the 270billion dollar Medicare cut that I vetoed, had been enacted in the law. [SEP] Everybody knows he’s a liar."
2,0,We're going to get it done. [SEP] we have uninsured people in my state
0,1,"as a last resort only, continue to use atomic power. [SEP] to the extent that we continue to use atomic power, I would be responsible as president to make sure that the safety precautions were initiated and maintained"
0,1,"The Russians are preventing significant action in the United Nations Security Council. [SEP] I have proposed a league of democracies, a group of people - a group of countries that share common interests, common values, common ideals"
0,1,I was also hopeful. [SEP] I have grown up in the bright light of America
0,1,you said that these deficits don't have anything to do with interest rates. [SEP] there is no connection between them
2,0,It's against the law in the United States to hire people illegally. [SEP] I believe that by the end of the first four years of uh - of the next term we could have the unemployment down to 3 percent adult unemployment
1,1,Of course I condemn. [SEP] The top national security officials of this country do believe that Russia has been behind these hacks
1,1,The surge worked. [SEP] You guys opposed the surge
2,0,"economists on the East Coast and West think it's good. [SEP] we are going to, in fact, eliminate those wasteful spending that exist in the budget right now"
2,0,The great recession crushed them. [SEP] Senator Kennedy complains very appropriately about our inadequate ra- radio broadcasts for Latin America
2,0,"This permits them to maintain their self-respect. [SEP] Start asking the question, what do you know?"
1,1,"In fact in the prior administration, with all their problems, they created 10 million jobs. [SEP] There are 6 million more people who have jobs and that's supposed to happen in a growing economy."
1,1,"Governor Romney says, we should replace it, I'm just going to repeal it, but -- but we can replace it with something. [SEP] he hasn't described what exactly we'd replace it with, other than saying we're going to leave it to the states"
2,0,"in order to get something done on behalf of the people, you have to put partisanship aside. [SEP] He is ready to be commander in chief"
0,1,"the families I know and the families I come from, they don't have the money to pay more out.... You are jeopardizing this program"
2,0,we did not use our military wisely in Iraq. [SEP] I don't want the federal government paying teachers' salaries directly.
0,1,We've taken no strong position in the uh - control of pollution of our oceans. [SEP] I would do the opposite in every respect
2,0,They don't reach those goals. [SEP] That's what Barack Obama and I want to do
0,1,It is important. [SEP] the next president is going to appoint three and maybe even four justices of the Supreme Court
2,0,I have a plan to put people back to work. [SEP] We've expanded Pell Grants for millions of people
0,1,that additional 15 million barrels is going to cause scarcity. [SEP] It is going to cause scarcity in world markets
0,1,"There are some who allege, I can't prove it true or untrue, that uh - such a statement uh - in effect invited the North Koreans to invade South Korea. [SEP] It's a fact they did"
2,0,"it's math. [SEP] It’s catastrophic in certain ways.But she wants to go to single payer, which means the government basically rules everything."
2,0,"Middle class Americans are working harder for less money than they were making ten years ago and they're paying higher taxes. [SEP] I think what we have to do, however, is have the president and the leadership set before our country exactly what we must do in the next decade,"
0,1,"he used to tell me things that I knew were not quite accurate. [SEP] So we always had a rule, we divided by six"
2,0,Immunization programs are up. [SEP] Those two steps are crucial to success in Iraq
2,0,"General Brown has indicated uh - his apology, his regrets. [SEP] he now completes this term with no progress toward arms control at all, but with a very dangerous arms race underway instead"
0,1,"We need to create more wealth. [SEP] We need to create more jobs and more access to credit and capital and educational choice and opportunity for any man or woman and child to be what God meant them to be, not what Washington, D.C. wants them to be"
0,1,I was able to do that in my state and bring these two together. [SEP] we haven't had the leadership in Washington to work on a bipartisan basis
2,0,I call on Chairman Arafat to have his people pull back to make the peace. [SEP] you find out that it is fair and equitable across the board
2,0,"When George Bush went to Nashville, the employees who lost their jobs asked to meet with. [SEP] since I first made that proposal 15 months ago, the price of gasoline, which was then $.80, has gone up to about $1.30"
0,1,When our general is on the ground and Ambassador Negroponte tells me that Iraq is ready to defend herself from these terrorists. [SEP] that's when
2,0,"we have to fully fund LIHEAP which is a way to help low income folks, particularly here in the east to pay for high fuel bills. [SEP] I think what it means to build consensus"
2,0,And then ask them whether there's a single major initiative that John McCain differs with the president on. [SEP] You lost that trade war.
2,0,we'll get the rest of that tax relief. [SEP] My view is we want to find jobs and opportunities and education
0,1,They delivered interest rates that were right off the charts.. [SEP] They delivered
2,0,"they may be ahead in one area or another. [SEP] We were especially disturbed, Joe, at a recent fundraiser you attended where there was a comedian that got up and criticized George Bush's religion"
2,0,I wanted the American people to know I was willing to give up something. [SEP] that's a certain passion
2,0,I am confident that Assad's days are numbered. [SEP] We want to provide opportunity for all Americans
0,1,There have been some tough cases come across my desk. [SEP] Some of the hardest moments since I've been the governor of the State of Texas is to deal with those cases
0,1,telling people what kind of health treatment they can receive. [SEP] picking winners and losers
0,1,We have the record of the Truman Administration of seven and a half years and the seven and a half years of the Eisenhower Administration. [SEP] I think we find that America has been moving ahead.
1,1,I also thought the wealthiest people in America ought to pay for it. [SEP] He wants your kids to pay for it
0,1,"I don't believe that our security would be directly threatened if the Soviet Union went uh - into Yugoslavia. [SEP] I would never uh - go to war or become militarily involved, in the internal affairs of another country unless our own security was direc- rectly threatened"
2,0,"that was one of the problems that helped to create the circumstances in Vietnam. [SEP] These make-work, temporary jobs - dead end as they are - are not the kind of jobs that we want for our people"
0,1,"Drug use doubled. [SEP] The record is pretty clear in Arkansas, when you were governor"
2,0,"they're showing up in Iraq for the same reason. [SEP] You know, under my leadership, what we've done is reformed education, working with governors, 46 states"
2,0,"Do we need to fix it, particularly for OGBYNs (sic) and for brain surgeons and others? [SEP] Yes. [SEP] we're on the track on this one"
2,0,"I headed the task force when I was a member of the Congress way back in the late '60s on these kinds of things, on the Republican side. [SEP] if there's any kind of suggestion at all from my answer that I would be anything but tolerant of adults in America choosing their partners, choosing relationships that they deem best for themselves, you know, I am tolerant"
0,1,it's good that we have them. [SEP] I would have put them in place earlier
0,1,Discussions of the vice presidency tend sometimes to focus on the crisis during which a vice president is thrust into the Oval Office. [SEP] one-3rd of the vice presidents who have served have been moved into the White House
0,1,We have to have nuclear power. [SEP] the point is that we become energy independent and we will create millions of jobs -- millions of jobs in America
0,1,"is it morally right?. [SEP] on that basis and that basis alone, we make a decision on every issue."
1,1,"We need to have accountability. [SEP] The Vice President's plan does not have annual accountability, third grade, fourth grade, fifth grade"
2,0,They tested missiles. [SEP] I think he shares my core values and my sense of where the country needs to go
2,0,I haven't sorted out the penalties. [SEP] I blame the president for the things the president could do that has an impact on it
2,0,"They ought to be engaged in breaking ground in other technologies, doing waste recycling, clean water technology and things of that kind. [SEP] a President must know what is essential to command and to leadership and to strength"
2,0,he was one of 435 members of the United States House. [SEP] I had already voted for Dwight Eisenhower to be President of the United States
0,1,you need to have a president that is qualified. [SEP] The American people should demand that their president tell the truth
2,0,I believe every one of those standards is essential to the exercise of power by this country. [SEP] Abraham Lincoln here is one of the most racist presidents we’ve had in modern history.
0,1,"You will decide whether we're going to keep fighting crime with a Brady Bill, assault weapons and finish putting those 100,000 police. [SEP] Your responsibility is to show up on November the 5th"
2,0,The present leadership uh - there is uh - is fairly uniform in - in their purpose. [SEP] I think Americans will judge very seriously as to whether that's the right path or the wrong path and who should be the next president of the United States
2,0,It's been a big failure. [SEP] We've got to turn this thing around
2,0,the world benefitted tremendously from the courage that they showed in those post-war years. [SEP] this means more than what we've been doing
2,0,"put it in the market. [SEP] yes, I went back to Washington, and I met with my Republicans in the House of Representatives"
