text,label,label_value,prediction
"the Vice President cast the deciding vote against federal aid for teachers' salaries in the Senate, which prevented that being added [SEP] the Administration and the Republican majority in the Congress has opposed any realistic aid to education",1,support,support
"even though we have maintained, as I pointed out in our first debate, the absolute gap over the Soviet Union [SEP] that isn't good enough",0,attack,support
America must be able to grow enough not only to take care of our needs at home for better education and housing and health - all these things we want [SEP] that isn't good enough,1,support,support
"We've got to grow enough to maintain the forces that we have abroad and to wage the non-military battle for the war - uh - for the world in Asia, in Africa and Latin America [SEP] that isn't good enough",1,support,support
"It's going to cost more money [SEP] We've got to grow enough to maintain the forces that we have abroad and to wage the non-military battle for the war - uh - for the world in Asia, in Africa and Latin America",0,attack,support
"growth will help us to win that battle [SEP] when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly",1,support,support
We also have to see that all of the people of the United States - the tremendous talents that our people have - are used adequately [SEP] it's for the benefit of the nation so that we can get the scientists and the engineers and all the rest that we need,1,support,support
We have to move into those areas with programs so that we make adequate use of the resources of those areas [SEP] we have to move on other areas that are holding back growth,1,support,support
it's for the benefit of the nation so that we can get the scientists and the engineers and all the rest that we need [SEP] We have to move into those areas with programs so that we make adequate use of the resources of those areas,1,support,support
Anybody who says America's been standing still for the last seven and a half years hasn't been traveling around America [SEP] America has not been standing still,1,support,support
move her forward so that we can stay ahead of the Soviet Union and win the battle for freedom and peace [SEP] that's why I stand so strongly for programs that will move America forward in the sixties,1,support,support
He suggested that we aid distressed areas [SEP] The Vice President suggested a number of things,1,support,support
Governor Rockefeller says five per cent [SEP] The last eight years the average growth has been about two and a half per cent,1,support,support
The Democratic platform and others say five per cent [SEP] That's why we don't have full employment today,1,support,support
Many say four and a half per cent [SEP] That's why we don't have full employment today,1,support,support
I believe all of those should be gone over in detail to make sure that no one is getting a tax break [SEP] to make sure that no one is getting away from paying the taxes he ought to pay,1,support,support
"there are about a hundred and four commodities that have some kind of depletion allowance - different kind of minerals, including oil [SEP] I believe all of those should be gone over in detail to make sure that no one is getting a tax break",1,support,support
I believe all of those should be gone over in detail to make sure that no one is getting a tax break [SEP] it includes everything within the range of taxation,1,support,support
We want to be sure it's fair and equitable [SEP] to make sure that no one is getting away from paying the taxes he ought to pay,1,support,support
it includes everything within the range of taxation [SEP] It includes oil abroad,1,support,support
It includes oil abroad [SEP] Perhaps that oil abroad should be treated differently than the oil here at home,1,support,support
Perhaps that oil abroad should be treated differently than the oil here at home [SEP] it includes everything within the range of taxation,0,attack,support
"I believe all of those should be gone over in detail to make sure that no one is getting a tax break [SEP] I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully",1,support,support
"to make sure that no one is getting away from paying the taxes he ought to pay [SEP] I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully",1,support,support
"it includes everything within the range of taxation [SEP] I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully",1,support,support
They're moving about eight or nine days in Texas [SEP] Particularly some of the smaller producers,1,support,support
Particularly some of the smaller producers [SEP] the oil industry recently has had hard times,1,support,support
the oil industry recently has had hard times [SEP] Perhaps that oil abroad should be treated differently than the oil here at home,1,support,support
"if there is any inequities in oil or any other commodity, then I would vote to close that loophole [SEP] I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully",1,support,support
"for those from five million dollars down, to maintain it at twenty-seven and a half per cent [SEP] I have voted in the past to reduce the depletion allowance for the largest producers",1,support,support
"I have voted in the past to reduce the depletion allowance for the largest producers [SEP] I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully",1,support,support
"for those from five million dollars down, to maintain it at twenty-seven and a half per cent [SEP] I believe we should study this and other allowances; tax expense, dividend expenses and all the rest",1,support,support
I favor the present depletion allowance [SEP] Senator Kennedy's position and mine completely different on this,1,support,support
I want to make America rich [SEP] I favor it,1,support,support
not because I want to make a lot of oil men rich [SEP] I favor it,0,attack,support
not because I want to make a lot of oil men rich [SEP] I favor the present depletion allowance,1,support,support
"this is the stimulation, the incentive for companies to go out and explore for oil, to develop it [SEP] I favor the present depletion allowance",1,support,support
"If we didn't have a depletion allowance of certainly, I believe, the present amount, we would have our oil exploration cut substantially in this country [SEP] I favor the present depletion allowance",1,support,support
"If we didn't have a depletion allowance of certainly, I believe, the present amount, we would have our oil exploration cut substantially in this country [SEP] I favor it",1,support,support
"If we didn't have a depletion allowance of certainly, I believe, the present amount, we would have our oil exploration cut substantially in this country [SEP] I have voted in the past to reduce the depletion allowance for the largest producers",0,attack,support
the thing to do is not to discourage individual enterprise [SEP] not to discourage people to go out and discover more oil and minerals,1,support,support
not to discourage people to go out and discover more oil and minerals [SEP] to encourage them,1,support,support
to encourage them [SEP] he would be doing exactly the wrong thing,1,support,support
he would be doing exactly the wrong thing [SEP] it is exactly opposite to the Senator's,1,support,support
he would be doing exactly the wrong thing [SEP] Senator Kennedy's position and mine completely different on this,1,support,support
"He suggests that there are a number of other items in this whole depletion field that could be taken into account [SEP] He also said a moment ago that we would get more money to finance his programs by revising the tax laws, including depletion",1,support,support
"He also said a moment ago that we would get more money to finance his programs by revising the tax laws, including depletion [SEP] the oil depletion allowance is one that provides eighty percent of all of those involved in depletion",1,support,support
"the oil depletion allowance is one that provides eighty percent of all of those involved in depletion [SEP] you're not going to get much from revenue insofar as depletion allowances are concerned, unless you move in the area that he indicated",1,support,support
I want us to have more oil exploration and not less [SEP] I oppose it,1,support,support
"He also said a moment ago that we would get more money to finance his programs by revising the tax laws, including depletion [SEP] you're not going to get much from revenue insofar as depletion allowances are concerned, unless you move in the area that he indicated",1,support,support
"I oppose it [SEP] you're not going to get much from revenue insofar as depletion allowances are concerned, unless you move in the area that he indicated",0,attack,support
"to encourage them [SEP] this is the stimulation, the incentive for companies to go out and explore for oil, to develop it",1,support,support
it includes all kinds of minerals [SEP] it includes everything within the range of taxation,1,support,support
That includes oil [SEP] it includes everything within the range of taxation,1,support,support
"make a determination of how we can stimulate growth [SEP] I believe we should study this and other allowances; tax expense, dividend expenses and all the rest",1,support,support
"how we can provide the revenues needed to move our country forward [SEP] I believe we should study this and other allowances; tax expense, dividend expenses and all the rest",1,support,support
"this is the stimulation, the incentive for companies to go out and explore for oil, to develop it [SEP] I favor it",1,support,support
if America is going to have the growth that he talks about and that I talk about and that we want [SEP] the thing to do is not to discourage individual enterprise,1,support,support
we must continue to have a balanced budget here at home in every possible circumstance that we can [SEP] the first thing we have to do is to continue to keep confidence abroad in the American dollar,1,support,support
"the moment that we have loss of confidence in our own fiscal policies at home, it results in gold flowing out [SEP] we must continue to have a balanced budget here at home in every possible circumstance that we can",1,support,support
America has been carrying a tremendous load in this respect [SEP] I think we have been right in carrying it,1,support,support
we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom [SEP] I think we have been right in carrying it,1,support,support
"now we find that the countries of Europe for example, that we have aided, and Japan, that we've aided in the Far East; these countries - some our former enemies, have now recovered completely [SEP] They have got to bear a greater share of this load of economic assistance abroad",1,support,support
I have favored our programs abroad for economic assistance and for military assistance [SEP] I think we have been right in carrying it,1,support,support
we've got to have more help from our friends abroad [SEP] America has been carrying a tremendous load in this respect,1,support,support
we've got to have more help from our friends abroad [SEP] I think we have been right in carrying it,1,support,support
We can a big share of it [SEP] we've got to have more help from our friends abroad,1,support,support
we've got to have more help from our friends abroad [SEP] The United States cannot continue to carry the major share of this burden by itself,1,support,support
"The United States cannot continue to carry the major share of this burden by itself [SEP] I am advocating, and will develop during the course of the next Administration - if, of course, I get the opportunity - a program in which we enlist more aid from these other countries on a concerted basis in the programs of economic development for Africa, Asia and Latin America",1,support,support
"we've got to have more help from our friends abroad [SEP] I think, will be very helpful in reversing the gold flow which you spoke about",1,support,support
I said was that this matter should be thoroughly gone into to make sure that there aren't loopholes [SEP] Mr. Nixon said on depletion that his record was the opposite of mine,1,support,support
"Mr. Nixon said on depletion that his record was the opposite of mine [SEP] If his record is the opposite of that, that means that he doesn't want to go into it",0,attack,support
"We have to have control over inflation [SEP] if we're going to continue to maintain our position in the sixties, we have to maintain a sound monetary and fiscal policy",1,support,support
"we also have to have a favorable balance of trade [SEP] if we're going to continue to maintain our position in the sixties, we have to maintain a sound monetary and fiscal policy",1,support,support
"have to maintain not only a favorable balance of trade but also send a good deal of our dollars overseas to pay our troops, maintain our bases, and sustain other economies [SEP] if we're going to continue to maintain our position in the sixties, we have to maintain a sound monetary and fiscal policy",1,support,support
"if we're going to continue to maintain our position in the sixties, we have to maintain a sound monetary and fiscal policy [SEP] We have to be able to compete in the world market",1,support,support
going all the way back to the days when there was a dollar shortage [SEP] many of the countries around the world still keep restrictions against our goads,1,support,support
many of the countries around the world still keep restrictions against our goads [SEP] We have to be able to compete in the world market,1,support,support
there isn't a dollar shortage [SEP] yet many of these countries continue to move against our goods,0,attack,support
yet many of these countries continue to move against our goods [SEP] We have to be able to compete in the world market,1,support,support
yet many of these countries continue to move against our goods [SEP] many of the countries around the world still keep restrictions against our goads,1,support,support
"if we're going to continue to maintain our position in the sixties, we have to maintain a sound monetary and fiscal policy [SEP] I believe that we must be able to compete in the market",1,support,support
yet many of these countries continue to move against our goods [SEP] I believe that we must be able to compete in the market,1,support,support
We have to be able to compete in the world market [SEP] we must be able to compete against them,1,support,support
"there isn't a dollar shortage [SEP] We have to persuade these other countries not to restrict our goods coming in, not to act as if there was a dollar gap",1,support,support
The United States cannot continue to carry the major share of this burden by itself [SEP] we have to persuade them to assume some of the responsibilities that up till now we've maintained,1,support,support
They have got to bear a greater share of this load of economic assistance abroad [SEP] we have to persuade them to assume some of the responsibilities that up till now we've maintained,1,support,support
"we have to persuade them to assume some of the responsibilities that up till now we've maintained [SEP] to assist underdeveloped countries in Africa, Latin America and Asia make an economic breakthrough on their own",1,support,support
"The difficulty, of course, is that we do have heavy obligations abroad [SEP] have to maintain not only a favorable balance of trade but also send a good deal of our dollars overseas to pay our troops, maintain our bases, and sustain other economies",1,support,support
We have to be able to compete in the world market [SEP] We have to be able to sell abroad more than we consume uh - from abroad if we're going to be able to meet our obligations,1,support,support
we have a very strong program going forward in the Department of Commerce [SEP] This one must be stepped up,1,support,support
"They have got to bear a greater share of this load of economic assistance abroad [SEP] I am advocating, and will develop during the course of the next Administration - if, of course, I get the opportunity - a program in which we enlist more aid from these other countries on a concerted basis in the programs of economic development for Africa, Asia and Latin America",1,support,support
"We have to be able to sell abroad more than we consume uh - from abroad if we're going to be able to meet our obligations [SEP] The difficulty, of course, is that we do have heavy obligations abroad",1,support,support
we always did because of our technological lead [SEP] we must be able to compete against them,1,support,support
"This one must be stepped up [SEP] we have to increase our exports, as compared with our imports",1,support,support
"now we find that the countries of Europe for example, that we have aided, and Japan, that we've aided in the Far East; these countries - some our former enemies, have now recovered completely [SEP] I have favored our programs abroad for economic assistance and for military assistance",1,support,support
"I think, will be very helpful in reversing the gold flow which you spoke about [SEP] The United States cannot continue to carry the major share of this burden by itself",1,support,support
I believe that we must be able to compete in the market [SEP] We have to be sure to maintain that,1,support,support
if our prestige is spreading [SEP] they'll be persuaded to follow our example,1,support,support
if our influence is spreading [SEP] they'll be persuaded to follow our example,1,support,support
if we are rising [SEP] they'll be persuaded to follow our example,1,support,support
if we are on the mount [SEP] they'll be persuaded to follow our example,1,support,support
He said that many of these countries equate space developments with scientific productivity and scientific advancement [SEP] There have been several indications that our prestige is not as high as it once was,1,support,support
"he said, many of these countries now feel that the Soviet Union, which was once so backward, is now on a par with the United States [SEP] There have been several indications that our prestige is not as high as it once was",1,support,support
the economic growth of the Soviet Union is greater than ours [SEP] There have been several indications that our prestige is not as high as it once was,1,support,support
"a Gallup Poll taken in February asked people in ten countries which country they thought would be first in 1970, both scientifically and militarily [SEP] a majority in every country except Greece, felt that it would be the Soviet Union by l970",1,support,support
"in the votes at the U.N., particularly the vote dealing with Red China last Saturday, we received the support on the position that we had taken of only two African countries - one, Liberia, which had been tied to us for more than a century, and the other, Union of South Africa, which is not a popular country in Africa. Every other ca- African country either abstained or voted against us [SEP] There have been several indications that our prestige is not as high as it once was",1,support,support
More countries voted against us in Asia on this issue than voted with us [SEP] There have been several indications that our prestige is not as high as it once was,1,support,support
"On the neutralists' resolution, which we were so much opposed to, the same thing happened [SEP] There have been several indications that our prestige is not as high as it once was",1,support,support
"Guinea and Ghana, two independent countries within the last three years - Guinea in fifty-seven, Ghana within the last eighteen months - both now are supporting the Soviet foreign policy at the U.N [SEP] There are many indications",1,support,support
Laos is moving in that direction [SEP] There are many indications,1,support,support
There are many indications [SEP] I would say our prestige is not so high,1,support,support
No longer do we give the image of being on the rise [SEP] I would say our prestige is not so high,1,support,support
No longer do we give an image of vitality [SEP] I would say our prestige is not so high,1,support,support
"Senator's - Kennedy's statement that he's just made is not going to help our Gallup Polls abroad and it isn't going to help our prestige either [SEP] a Gallup Poll taken in February asked people in ten countries which country they thought would be first in 1970, both scientifically and militarily",0,attack,support
Let's look at the other side of the coin [SEP] Let's look at the vote on the Congo,1,support,support
Let's look at the vote on the Congo [SEP] the vote was seventy to nothing against the Soviet Union,1,support,support
Let's look at the situation with regard to economic growth as it really is [SEP] We find that the Soviet Union is a very primitive economy,1,support,support
"the vote was seventy to nothing against the Soviet Union [SEP] in the votes at the U.N., particularly the vote dealing with Red China last Saturday, we received the support on the position that we had taken of only two African countries - one, Liberia, which had been tied to us for more than a century, and the other, Union of South Africa, which is not a popular country in Africa. Every other ca- African country either abstained or voted against us",0,attack,support
We find that the Soviet Union is a very primitive economy [SEP] Its growth rate is not what counts,1,support,support
it's whether it is catching up with us and it is not catching up with us [SEP] Its growth rate is not what counts,1,support,support
we have confidence in America [SEP] don't run her down in order to build her up,1,support,support
"don't run her down in order to build her up [SEP] in this whole matter of prestige, in the final analysis, its whether you stand for what's right",1,support,support
don't run her down in order to build her up [SEP] No longer do we give an image of vitality,0,attack,support
don't run her down in order to build her up [SEP] No longer do we give the image of being on the rise,0,attack,support
don't run her down in order to build her up [SEP] I would say our prestige is not so high,0,attack,support
"in this whole matter of prestige, in the final analysis, its whether you stand for what's right [SEP] I can think of nothing that will be a greater blow to the prestige of the United States among the free nations in Asia than for us to take Senator Kennedy's advan- advice to go - go against what a majority of the members of the Senate, both Democrat and Republican, did - said in 1955, and to say in advance we will surrender an area to the Communists",1,support,support
"I can think of nothing that will be a greater blow to the prestige of the United States among the free nations in Asia than for us to take Senator Kennedy's advan- advice to go - go against what a majority of the members of the Senate, both Democrat and Republican, did - said in 1955, and to say in advance we will surrender an area to the Communists [SEP] if the United States is going to maintain its strength and its prestige, we must not only be strong militarily and economically, we must be firm diplomatically",1,support,support
"the way to win is not to retreat and not to surrender [SEP] if the United States is going to maintain its strength and its prestige, we must not only be strong militarily and economically, we must be firm diplomatically",1,support,support
"This has a great effect on the s- underdeveloped world, which faces problems of low income and high population density and inadequate resources [SEP] There have been several indications that our prestige is not as high as it once was",1,support,support
Mr. Dulles has suggested it's from two to three times as great as ours [SEP] the economic growth of the Soviet Union is greater than ours,1,support,support
"a majority in every country except Greece, felt that it would be the Soviet Union by l970 [SEP] This has a great effect on the s- underdeveloped world, which faces problems of low income and high population density and inadequate resources",1,support,support
Its growth rate is not what counts [SEP] the economic growth of the Soviet Union is greater than ours,0,attack,support
the Chinese Communists say over and over again that their objective is not the offshore islands [SEP] they consider them only steppingstones to taking Formosa - in the event that their attack then were a prelude to an attack on Formosa,1,support,support
"they consider them only steppingstones to taking Formosa - in the event that their attack then were a prelude to an attack on Formosa [SEP] there isn't any question but that the United States would then again, as in the case of Berlin, honor our treaty obligations and stand by our ally of Formosa",1,support,support
"it would not be in the best interests of the United States [SEP] to indicate in advance how we would respond, to indicate the nature of this response would be incorrect",1,support,support
it would not be in the best interests of the United States [SEP] to do what Senator Kennedy has suggested - to suggest that we will surrender these islands or force our Chinese Nationalist allies to surrender them in advance - is not something that would lead to peace,0,attack,support
they don't want just Formosa [SEP] they want the world,1,support,support
They don't want just Quemoy and Matsu [SEP] they want the world,1,support,support
We tried this with Hitler [SEP] It didn't work,1,support,support
This is the history of dealing with dictators [SEP] We tried this with Hitler,1,support,support
the United States now has a treaty - which I voted for in the United States Senate in 1955 - to defend Formosa and the Pescadores Island [SEP] I believe we must meet our commitment to uh - Formosa,1,support,support
the United States now has a treaty - which I voted for in the United States Senate in 1955 - to defend Formosa and the Pescadores Island [SEP] I support it and the Pescadores Island,1,support,support
"I believe we must meet our commitment to uh - Formosa [SEP] if Formosa is attacked or the Pescadores, or if there's any military action in any area which indicates an attack on Formosa and the Pescadores, then of course the United States is at war to defend its treaty",1,support,support
"I support it and the Pescadores Island [SEP] if Formosa is attacked or the Pescadores, or if there's any military action in any area which indicates an attack on Formosa and the Pescadores, then of course the United States is at war to defend its treaty",1,support,support
The treaty does not include these two islands [SEP] the United States now has a treaty - which I voted for in the United States Senate in 1955 - to defend Formosa and the Pescadores Island,0,attack,support
The treaty does not include these two islands [SEP] The President of the United States has indicated they are not within the treaty area,1,support,support
The President of the United States has indicated they are not within the treaty area [SEP] They were not within the treaty area when the treaty was passed in fifty-five,1,support,support
"Admiral Yarnell, the commander of the Asiatic fleet, has said that these islands are not worth the bones of a single American [SEP] The President of the United States has indicated they are not within the treaty area",1,support,support
They were not within the treaty area when the treaty was passed in fifty-five [SEP] This is a serious issue,1,support,support
"This is a serious issue [SEP] I think we ought to understand completely if we disagree, and if so, where",1,support,support
We have attempted to persuade Chiang Kai-shek as late as January of 1959 to reduce the number of troops he has on them [SEP] This is a serious issue,1,support,support
"to do what Senator Kennedy has suggested - to suggest that we will surrender these islands or force our Chinese Nationalist allies to surrender them in advance - is not something that would lead to peace [SEP] it is something that would lead, in my opinion, to war",1,support,support
"He wanted first uh - we know, Austria, and then he went on to the Sudetenland and then Danzig, and each time it was thought this is all that he wanted [SEP] it doesn't satisfy them",1,support,support
It didn't work [SEP] they want the world,1,support,support
they want the world [SEP] it doesn't satisfy them,1,support,support
"it doesn't satisfy them [SEP] if you surrender or indicate in advance that you're not going to defend any part of the free world, and you figure that's going to satisfy them",0,attack,support
It only whets their appetite [SEP] it doesn't satisfy them,1,support,support
"it doesn't satisfy them [SEP] I say that those of us who stand against surrender of territory - this or any others - in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace",1,support,support
"it is something that would lead, in my opinion, to war [SEP] I say that those of us who stand against surrender of territory - this or any others - in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace",1,support,support
"The islands which Mr. Nixon is discussing are five or four miles, respectively, off the coast of China [SEP] there isn't any question but that the United States would then again, as in the case of Berlin, honor our treaty obligations and stand by our ally of Formosa",0,attack,support
"The islands which Mr. Nixon is discussing are five or four miles, respectively, off the coast of China [SEP] The treaty does not include these two islands",1,support,support
"the chairman of the Senate Foreign Relations Committee, wrote to the President, he received back on the second of October, 1958 - ""neither you nor any other American need feel the U.S. will be involved in military hostilities merely in the defense of Quemoy and Matsu."" [SEP] The treaty does not include these two islands",1,support,support
That is the present American position [SEP] the United States should go to war if these two islands are attacked,1,support,support
"I think we ought to understand completely if we disagree, and if so, where [SEP] Mr. Nixon wants to do is commit us - as I understand him, so that we can be clear if there's a disagreement - he wants us to be committed to the defense of these islands merely as the defense of these islands as free territory, not as part of the defense of Formosa",0,attack,support
"we should attempt in January, February, and March of next year to increase the airlift capacity of our conventional forces [SEP] I think we should st- strengthen our conventional forces",1,support,support
It may be a long period [SEP] we must get started immediately,1,support,support
to renew negotiations with the Soviet Union and see whether it's possible to come to some conclusion which will lessen the chances of contamination of the atmosphere [SEP] I feel that another effort should be made by a new Administration in January of 1961,1,support,support
also lessen the chances that other powers will begin to possess a nuclear capacity [SEP] I feel that another effort should be made by a new Administration in January of 1961,1,support,support
"This is extremely serious [SEP] There are indications, because of new inventions, that ten, fifteen, or twenty nations will have a nuclear capacity - including Red China - by the end of the presidential office in 1964",1,support,support
There have been many wars in the history of mankind [SEP] This is extremely serious,1,support,support
"Less than a hundred people have been working throughout the entire federal government on this subject [SEP] I don't feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament",1,support,support
"I believe it's been reflected in our success and failures at Geneva [SEP] I don't feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament",1,support,support
The Soviet Union may not agree to an inspection system [SEP] we may not succeed,1,support,support
"we may not succeed [SEP] If we cannot succeed, then we must strengthen ourselves",1,support,support
when Senator Kennedy suggests that we haven't been making an effort [SEP] he simply doesn't know what he's talking about,1,support,support
"he simply doesn't know what he's talking about [SEP] I don't feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament",0,attack,support
It isn't a question of the number of people who are working in an Administration [SEP] Less than a hundred people have been working throughout the entire federal government on this subject,0,attack,support
It's a question of who they are [SEP] It isn't a question of the number of people who are working in an Administration,1,support,support
under no circumstances must the United States ever make an agreement based on trust [SEP] There must be an absolute guarantee,1,support,support
that amendment put the Senate of the United States on record with a majority of the Senator's own party voting for it [SEP] the majority of Republicans - put them on record - against the very position that the Senator takes now of surrendering,1,support,support
the majority of Republicans - put them on record - against the very position that the Senator takes now of surrendering [SEP] the United States will not defend the offshore islands,1,support,support
"which passed the Senate overwhelmingly, seventy to twelve [SEP] that amendment put the Senate of the United States on record with a majority of the Senator's own party voting for it",1,support,support
to move toward controlled disarmament [SEP] we must move forward in every possible way to reduce the danger of war,1,support,support
to control tests [SEP] we must move forward in every possible way to reduce the danger of war,1,support,support
This has been one of the highest level operations in the whole State Department right under the President himself [SEP] he simply doesn't know what he's talking about,1,support,support
"Yes, we should make a great effort [SEP] when Senator Kennedy suggests that we haven't been making an effort",0,attack,support
"Yes, we should make a great effort [SEP] under no circumstances must the United States ever make an agreement based on trust",0,attack,support
"Yes, we should make a great effort [SEP] we must move forward in every possible way to reduce the danger of war",1,support,support
We may be able to get satisfactory assurances [SEP] It may be necessary for us to begin testing again,1,support,support
"I feel that another effort should be made by a new Administration in January of 1961 [SEP] to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake",1,support,support
"to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake [SEP] I don't feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament",0,attack,support
I feel that another effort should be made by a new Administration in January of 1961 [SEP] we may not succeed,0,attack,support
"I feel that another effort should be made by a new Administration in January of 1961 [SEP] make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels",1,support,support
