text,label,prediction
"One of the things that they do n't agree on is in the area of national defense . National defense , and how we 're going to preserve the freedom in this country . Michael Dukakis is the most liberal national Democrat to seek the office of presidency since George McGovern . He is for - he is against the MX missile , the midgetman , cutting two aircraft carriers . He is opposed to many defense programs that are necessary to defend this country . That 's why former Secretary of Defense and former Energy Secretary in the Carter administration , Jim Schlesinger , in an open letter to Time magazine asked Governor Dukakis , "" are you viscerally anti - military ? "" Jim Schlesinger never got an answer . And the reason he did is because the governor of Massachusetts does n't want to answer former Secretary Jim Schlesinger on that very important question .","One of the things that they do n't agree on is in the area of national defense. National defense, and how we 're going to preserve the freedom in this country. <Claim> Michael Dukakis is the most liberal national Democrat to seek the office of presidency since George McGovern . </Claim> He is for - <Claim> he is against the MX missile , the midgetman , cutting two aircraft carriers . </Claim> <Claim> He is opposed to many defense programs that are necessary to defend this country . </Claim> <Claim> That 's why former Secretary of Defense and former Energy Secretary in the Carter administration , Jim Schlesinger , in an open letter to Time magazine asked Governor Dukakis , "" are you viscerally anti - military ? "" </Claim> Jim Schlesinger never got an answer. And the reason he did is because <Premise> the governor of Massachusetts does n't want to answer former Secretary Jim Schlesinger on that very important question . </Premise>","<Premise> One of the things that they do n't agree on is in the area of national defense . </Premise> <Premise> National defense , and how we 're going to preserve the freedom in this country . </Premise> <Premise> Michael Dukakis is the most liberal national Democrat to seek the office of presidency since George McGovern . </Premise> <Premise> He is for - he is against the MX missile , the midgetman , cutting two aircraft carriers . </Premise> <Premise> He is opposed to many defense programs that are necessary to defend this country . </Premise> <Premise> That 's why former Secretary of Defense and former Energy Secretary in the Carter administration , Jim Schlesinger , in an open letter to Time magazine asked Governor Dukakis , "" are you viscerally anti - military ? "" </Premise> <Premise> Jim Schlesinger never got an answer . </Premise> And <Claim> the reason he did is because the governor of Massachusetts does n't want to answer former Secretary Jim Schlesinger on that very important question . </Claim>"
"Senator Harris , thank you .","Senator Harris, thank you.","Senator Harris, thank you."
Thank you -,Thank you -,Thank you -
"President Bush , one minute .","President Bush, one minute.","President Bush, one minute."
"Senator , I want to take you back if I can to the question Judy asked you about some of the apprehensions people may feel about your being a heart beat away from the presidency . And let us assume if we can for the sake of this question that you have become Vice President and the President is incapacitated for one reason or another , and you have to take the reins of power . When that moment came , what would be the first steps that you 'd take , and why ?","Senator, I want to take you back if I can to the question Judy asked you about some of the apprehensions people may feel about your being a heart beat away from the presidency. And let us assume if we can for the sake of this question that you have become Vice President and the President is incapacitated for one reason or another, and you have to take the reins of power. When that moment came, what would be the first steps that you 'd take, and why?","Senator, I want to take you back if I can to the question Judy asked you about some of the apprehensions people may feel about your being a heart beat away from the presidency. And let us assume if we can for the sake of this question that you have become Vice President and the President is incapacitated for one reason or another, and you have to take the reins of power. When that moment came, what would be the first steps that you 'd take, and why?"
- if you were n't able to get them in August ?,- if you were n't able to get them in August?,- if you were n't able to get them in August?
"A rebuttal , Governor ?","A rebuttal, Governor?","A rebuttal, Governor?"
"Good evening , from Wake Chapel at Wake Forest University at Winston - Salem , North Carolina . I 'm Jim Lehrer of the News Hour on PBS . Welcome to this second election 2000 debate between the Republican candidate for president , Gov. George W. Bush of Texas , and the Democratic candidate , Vice President Al Gore . These debates are sponsored by the Commission on Presidential Debates . The format and the rules are those negotiated by representatives of the two campaigns . Only the subjects tonight and the questions are mine . The format tonight is that of a conversation . The only prevailing rule is that no single response can ever , ever exceed two minutes . The prevailing rule for the audience here in the hall is as always , absolute quiet , please . Good evening , Governor Bush , Vice President Gore . The end of our 90 minutes last week in Boston , the total time each of you took was virtually the same . Let 's see if we can do the same tonight , or come close . Governor Bush , the first question goes to you . One of you is about to be elected the leader of the single - most powerful nation in the world , economically , financially , militarily , diplomatically , you name it . Have you formed any guiding principles for exercising this enormous power ?","Good evening, from Wake Chapel at Wake Forest University at Winston - Salem, North Carolina. I 'm Jim Lehrer of the News Hour on PBS. Welcome to this second election 2000 debate between the Republican candidate for president, Gov. George W. Bush of Texas, and the Democratic candidate, Vice President Al Gore. These debates are sponsored by the Commission on Presidential Debates. The format and the rules are those negotiated by representatives of the two campaigns. Only the subjects tonight and the questions are mine. The format tonight is that of a conversation. The only prevailing rule is that no single response can ever, ever exceed two minutes. The prevailing rule for the audience here in the hall is as always, absolute quiet, please. Good evening, Governor Bush, Vice President Gore. The end of our 90 minutes last week in Boston, the total time each of you took was virtually the same. Let 's see if we can do the same tonight, or come close. Governor Bush, the first question goes to you. One of you is about to be elected the leader of the single - most powerful nation in the world, economically, financially, militarily, diplomatically, you name it. Have you formed any guiding principles for exercising this enormous power?","Good evening, from Wake Chapel at Wake Forest University at Winston - Salem, North Carolina. I 'm Jim Lehrer of the News Hour on PBS. Welcome to this second election 2000 debate between the Republican candidate for president, Gov. George W. Bush of Texas, and the Democratic candidate, Vice President Al Gore. These debates are sponsored by the Commission on Presidential Debates. The format and the rules are those negotiated by representatives of the two campaigns. Only the subjects tonight and the questions are mine. The format tonight is that of a conversation. The only prevailing rule is that no single response can ever, ever exceed two minutes. The prevailing rule for the audience here in the hall is as always, absolute quiet, please. Good evening, Governor Bush, Vice President Gore. The end of our 90 minutes last week in Boston, the total time each of you took was virtually the same. Let 's see if we can do the same tonight, or come close. Governor Bush, the first question goes to you. One of you is about to be elected the leader of the single - most powerful nation in the world, economically, financially, militarily, diplomatically, you name it. Have you formed any guiding principles for exercising this enormous power?"
"John , a question for Senator Bentsen .","John, a question for Senator Bentsen.","John, a question for Senator Bentsen."
Can you hear now ?,Can you hear now?,Can you hear now?
"Thank you , Vice President .","Thank you, Vice President.","Thank you, Vice President."
AUDIENCE_QUESTION : What are they going to cost ?,AUDIENCE_QUESTION: What are they going to cost?,AUDIENCE_QUESTION: What are they going to cost?
I still have a couple of minutes left . And there is a difference principle -,I still have a couple of minutes left. And there is a difference principle -,I still have a couple of minutes left. And there is a difference principle -
"That 's going to be up to the people , is n't it ?","That 's going to be up to the people, is n't it?","That 's going to be up to the people, is n't it?"
"Excuse me , you would have to get the license -- a photo I.D. to go in and before you could buy the gun ?","Excuse me, you would have to get the license -- a photo I.D. to go in and before you could buy the gun?","Excuse me, you would have to get the license -- a photo I.D. to go in and before you could buy the gun?"
"Well , Joe Biden , I think , is one of the finest public servants that has served in this country . It 's not just that he has some of the best foreign policy credentials of anybody . And Democrats and Republicans alike , I think , acknowledge his expertise there . But it 's also that his entire life he has never forgotten where he came from , coming from Scranton , fighting on behalf of working families , remembering what it 's like to see his father lose his job and go through a downward spiral economically . And , as a consequence , his consistent pattern throughout his career is to fight for the little guy . That 's what he 's done when it comes to economic policies that will help working families get a leg up . That 's what he 's done when it comes to , for example , passing the landmark 1994 crime bill , the Violence Against Women 's Act . Joe has always made sure that he is fighting on behalf of working families , and I think he shares my core values and my sense of where the country needs to go . Because after eight years of failed policies , he and I both agree that what we 're going to have to do is to reprioritize , make sure that we 're investing in the American people , give tax cuts not to the wealthiest corporations , but give them to small businesses and give them to individuals who are struggling right now , make sure that we finally get serious about energy independence , something that has been languishing in Washington for 30 years , and make sure that our kids get a great education and can afford to go to college . So , on the key issues that are of importance to American families , Joe Biden 's always been on the right side , and I think he will make an outstanding president if , heaven forbid , something happened to me .","Well, <Claim> Joe Biden , I think , is one of the finest public servants that has served in this country . </Claim> <Premise> It 's not just that he has some of the best foreign policy credentials of anybody . </Premise> And <Premise> Democrats and Republicans alike , I think , acknowledge his expertise there . </Premise> But it 's also that <Premise> his entire life he has never forgotten where he came from , coming from Scranton , fighting on behalf of working families , remembering what it 's like to see his father lose his job and go through a downward spiral economically . </Premise> And, <Premise> as a consequence , his consistent pattern throughout his career is to fight for the little guy . </Premise> <Premise> That 's what he 's done when it comes to economic policies that will help working families get a leg up . </Premise> <Premise> That 's what he 's done when it comes to , for example , passing the landmark 1994 crime bill , the Violence Against Women 's Act . </Premise> <Premise> Joe has always made sure that he is fighting on behalf of working families </Premise> , and <Claim> I think he shares my core values and my sense of where the country needs to go . </Claim> Because <Claim> after eight years of failed policies , he and I both agree that what we 're going to have to do is to reprioritize </Claim> , <Claim> make sure that we 're investing in the American people </Claim> , <Claim> give tax cuts not to the wealthiest corporations , but give them to small businesses and give them to individuals who are struggling right now </Claim> , <Claim> make sure that we finally get serious about energy independence </Claim> , <Premise> something that has been languishing in Washington for 30 years </Premise> , and <Claim> make sure that our kids get a great education and can afford to go to college . </Claim> So, <Claim> on the key issues that are of importance to American families , Joe Biden 's always been on the right side </Claim> , and <Claim> I think he will make an outstanding president if , heaven forbid , something happened to me . </Claim>","Well, <Claim> Joe Biden , I think , is one of the finest public servants that has served in this country . </Claim> <Premise> It 's not just that he has some of the best foreign policy credentials of anybody . </Premise> And <Premise> Democrats and Republicans alike , I think , acknowledge his expertise there . </Premise> But <Premise> it 's also that his entire life he has never forgotten where he came from , coming from Scranton , fighting on behalf of working families , remembering what it 's like to see his father lose his job and go through a downward spiral economically . </Premise> And, as a consequence, <Claim> his consistent pattern throughout his career is to fight for the little guy . </Claim> <Premise> That 's what he 's done when it comes to economic policies that will help working families get a leg up . </Premise> <Premise> That 's what he 's done when it comes to , for example , passing the landmark 1994 crime bill , the Violence Against Women 's Act . </Premise> <Premise> Joe has always made sure that he is fighting on behalf of working families </Premise> , and <Claim> I think he shares my core values and my sense of where the country needs to go . </Claim> Because <Premise> after eight years of failed policies , he and I both agree that what we 're going to have to do is to reprioritize , make sure that we 're investing in the American people , give tax cuts not to the wealthiest corporations , but give them to small businesses and give them to individuals who are struggling right now , make sure that we finally get serious about energy independence , something that has been languishing in Washington for 30 years , and make sure that our kids get a great education and can afford to go to college . </Premise> So, <Claim> on the key issues that are of importance to American families , Joe Biden 's always been on the right side </Claim> , and <Claim> I think he will make an outstanding president if , heaven forbid , something happened to me . </Claim>"
"Well , it 's the civil rights issue of the 21st century . There 's no doubt that we have achieved equal access to schools in America after a long and difficult and terrible struggle . But what is the advantage in a low income area of sending a child to a failed school and that being your only choice ? So choice and competition amongst schools is one of the key elements that 's already been proven in places in like New Orleans and New York City and other places , where we have charter schools , where we take good teachers and we reward them and promote them . And we find bad teachers another line of work . And we have to be able to give parents the same choice , frankly , that Senator Obama and Mrs. Obama had and Cindy and I had to send our kids to the school -- their kids to the school of their choice . Charter schools are n't the only answer , but they 're providing competition . They are providing the kind of competitions that have upgraded both schools -- types of schools . Now , throwing money at the problem is not the answer . You will find that some of the worst school systems in America get the most money per student . So I believe that we need to reward these good teachers .","Well, it 's the civil rights issue of the 21st century. There 's no doubt that we have achieved equal access to schools in America after a long and difficult and terrible struggle. But what is the advantage in a low income area of sending a child to a failed school and that being your only choice? So <Claim> choice and competition amongst schools is one of the key elements </Claim> <Premise> that 's already been proven in places in like New Orleans and New York City and other places , where we have charter schools , where we take good teachers and we reward them and promote them . </Premise> And <Premise> we find bad teachers another line of work . </Premise> And <Claim> we have to be able to give parents the same choice , frankly , that Senator Obama and Mrs. Obama had and Cindy and I had to send our kids to the school -- their kids to the school of their choice . </Claim> <Premise> Charter schools are n't the only answer , but they 're providing competition . </Premise> <Premise> They are providing the kind of competitions that have upgraded both schools -- types of schools . </Premise> Now, <Claim> throwing money at the problem is not the answer . </Claim> <Premise> You will find that some of the worst school systems in America get the most money per student . </Premise> So <Claim> I believe that we need to reward these good teachers . </Claim>","Well, <Claim> it 's the civil rights issue of the 21st century . </Claim> <Claim> There 's no doubt that we have achieved equal access to schools in America after a long and difficult and terrible struggle . </Claim> But what is the advantage in a low income area of sending a child to a failed school and that being your only choice? So <Claim> choice and competition amongst schools is one of the key elements that 's already been proven in places in like New Orleans and New York City and other places , where we have charter schools , where we take good teachers and we reward them and promote them . </Claim> And <Claim> we find bad teachers another line of work . </Claim> And <Claim> we have to be able to give parents the same choice , frankly , that Senator Obama and Mrs. Obama had and Cindy and I had to send our kids to the school -- their kids to the school of their choice . </Claim> <Claim> Charter schools are n't the only answer </Claim> , but <Claim> they 're providing competition . </Claim> <Claim> They are providing the kind of competitions that have upgraded both schools -- types of schools . </Claim> Now, <Claim> throwing money at the problem is not the answer . </Claim> You will find that <Premise> some of the worst school systems in America get the most money per student . </Premise> So <Claim> I believe that we need to reward these good teachers . </Claim>"
"Thank you . You know there is no more important issue than the final issue that we 're going to talk about tonight , and that is the issue of the election itself .","Thank you. You know there is no more important issue than the final issue that we 're going to talk about tonight, and that is the issue of the election itself.","Thank you. You know there is no more important issue than the final issue that we 're going to talk about tonight, and that is the issue of the election itself."
"Well , I think the national debt affects everybody .","Well, <Claim> I think the national debt affects everybody . </Claim>","Well, <Claim> I think the national debt affects everybody . </Claim>"
