text,label,response
"Let me bring a note of conciliation to the debate. Does the right hon. Gentleman agree that if the nation had more people who are knowledgeable about first aid, fewer people would make their way to A and Es in the first place? Mention has been made of an additional 1 million people going to accident and emergency. The derision I received earlier was an attack on organisations such as St John Ambulance, which trains first aiders, because the simple fact is, as I said when speaking to my ten-minute rule Bill 10 years ago, that first aiders will ""QUOTATION"". We should be getting more first aiders out there. If the last Labour Government had listened to that, we would have 1 million more first aiders. nan",Negative,Negative
"I recently asked the Secretary of State for Energy and Climate Change what action she was going to take to promote zero-carbon homes, given that the Government had announced last July that they were going to scrap the target set by the previous Labour Government for all homes to be carbon-neutral by this year. She replied that she could reassure me that an EU directive was due to come into force in 2020 and that she believed near-zero carbon emissions would help to reduce bills. Given that we are leaving the EU, does my hon. Friend agree that the Government should take immediate action to reintroduce ambitious targets for zero-carbon homes? nan nan nan nan",Positive,Negative
"The hon. Gentleman began by saying that the Bill would have all sorts of terrible consequences. Now he appears to argue that it would have no consequences. Which is it? I am reading clause 2, as the hon. Gentleman must be, and I cannot see any obligation under it to provide the House with information of the sort that he described. There is a power for the Prime Minister to make such information available, but he does not have to do so. nan nan nan",Positive,Output: Negative
"I shall make a very short and plain statement. The debate has been conducted largely as though we were discussing a matter affecting only London, which may seem to be a reasonable conclusion as the order is about elections for the London assembly and the London mayor. However, the matter has a wider significance. It is not true, as has been well established, that the London elections will be simply local government elections. It is not even true that the major problem is that it is hard work to run elections and difficult to canvass and to deliver. That is not really the essence of the matter at all, as that problem applies anywhere in the country and also in parliamentary elections. I have sat in the Chamber, through the previous debate and this one, asking myself over and over, ""QUOTATION""? I accept the free mailshot at general elections in my constituency. I would not dream of saying that we have plenty of workers, or that we rely on the fact that we shall have one leaflet delivered by post. We still organise as many people as we possibly can to deliver and to canvass, because one leaflet does not make an election. The issue is not about Labour Members or Liberal Democrat Members or anyone else being short of election workers: it is about providing a reasonable minimum standard so that everyone is able to deliver at least one leaflet. If they can do more than that, it will have to be down to their own efforts. As has already been pointed out, the leaflets and envelopes have to be paid for. It is not a free ride; it is simply a free delivery. I worry a great deal about the possible implications for parliamentary elections. When my hon. Friend the Member for Rotherham was looking for people who might be affected, I was glad that his gaze passed over me and he did not say Preston. I would not have liked to be prayed in aid to that speech. Never mind clever-clever passion and grandiloquence. When all is said and done, it is a pity that the Opposition have been handed a weapon to use against us. We have been reduced to saying ""QUOTATION"". Of course they have done worse. They abolished the Greater London council, which was a downright disgrace. However, we are not improving on that by what we are doing tonight. We are giving them a cover so that people can say ""QUOTATION"". It is a pity to do that. If we were to add up the cost of the parliamentary mailshots, how would we defend them? If cost is the true issue, it is shameful. I do not know what the true issue is, but the order is a mistake. We should not have handed the Opposition this weapon. nan",Negative,Negative
"We have to be careful because many people in the press misinterpreted Baroness Morgan’s statement as meaning kids sitting in rows learning at two. It is early-years stimulation we want, and we get that—it is affordable on the Danish model—if we employ people who are well trained to do it, like the social pedagogues in Denmark. In the early days of being the Chair of the former Education Committee, I remember visiting settings just after the minimum wage was introduced. Many people were horrified, because up until then they had been paying £1 an hour. That was the desperate situation we were left with in 1997. Within the limits of this sort of debate, the hon. Lady is not making a bad speech, but many ordinary people and parents outside desperately want even better child care and are hanging on her words. What will the Government do to move to the next stage? nan nan",Positive,Negative
"A constituent has been pressing me for some time with extreme scepticism about the Government's intentions, and I have always told him that he can rely on the Government to follow the will of the House. He apologised to me today when he heard that the Minister intended tonight to present a new programme motion, and he asked me to tell my right hon. Friend that his faith in democracy had been restored. nan nan nan nan",Positive,Output: Positive
"As my hon. Friend the Member for Hayes and Harlington pointed out, we have had lots of honeyed words from the Government about how they are going to deal with this matter. However, is that not belied by the fact that they appointed someone as the executive chair of HMRC who thinks that taxation is ""QUOTATION""? Does that not demonstrate the attitude that exists in this Administration? I am grateful to the hon. Gentleman, but he accused me of smearing this individual when I was actually quoting him word for word. He went on to say that tax is legitimised ""QUOTATION"". If the bar is set too low, fewer people will pay tax and more will be able to avoid it. My point–I stick by it–is that this Government's attitude towards tax avoidance is lax and their words are more honeyed than their actions. nan",Positive,Negative
"With his great expertise and knowledge of house building, would my hon. Friend ever contemplate building on the green belt? So the answer is no. Given my hon. Friend's great expertise on this matter and my lack of knowledge, could he enlighten me as to what happens to the people who live on a sink estate when it is brought down and rebuilt? What happens to those people while they are having their homes rebuilt? nan nan",Negative,Output: Negative
"Does my hon. Friend agree that some of our police forces are stretched just by the crime that they are currently dealing with? In Salford we have had 19 shootings in a period of 19 or 20 months. On some weekends there have been four shootings on the same day. Protection of the public is important, but should our police force be so stretched in Greater Manchester when they have that to deal with? My right hon. Friend is making a thoughtful and effective speech. As part of the consultation, will he and the Home Affairs Committee take on board the fact, which I raised earlier with my hon. Friend the Member for Birmingham, Erdington, that some police forces are peculiarly stretched by a local crime surge? In Salford, we have suffered from 21 shootings over 18 months. The hollowing out of neighbourhood policing, which we have talked about in the debate, is serious when the police have so much more to do because of crime surges such as the one we have seen in Salford. That really ought to be addressed. My right hon. Friend is making some very effective points. I have already raised the issue of gun crime, particularly in Greater Manchester. That will not be solved in any way other than through neighbourhood policing and working with the community. Our outgoing chief constable, Sir Peter Fahy, said before leaving his post that relationship building was needed with the community, so that people were confident to come forward and give the police information, without which the police cannot solve the gun crime that we have. In Moss Side, it took a long period of building such relationships to get that information out. That is the key point. I counsel the hon. Gentleman against talking about crime falling across the country. He is saying things that are not true for Greater Manchester, which has seen a 14% increase in recorded crime and a 36% increase in violent crime, but which is facing an £8.5 million cut. Will he please not talk about crime falling across the country, as he is not referring to Greater Manchester? nan",Negative,Negative
"Is it not appropriate for the Opposition, including Liberal Democrat as well as Conservative and Unionist Members, to make representations through the Minister to the Government to the effect that they should urgently review the programming procedures of the House to meet the perfectly reasonable deliberations and recommendations of the Procedure Committee? I believe that the Minister wants good legislation, but she will not get the best legislation if we proceed in this way. nan nan nan nan",Negative,Output: Positive
"My right hon. Friend highlighted the fact that the Prime Minister for 12 months dithered over whether she wanted an election, and all the time said that she did not want one, but is not the reality that her mind was focused by the fact that she may well lose some of her Back Benchers if the Crown Prosecution Service has its way? nan nan nan nan",Negative,Negative
"Does the Secretary of State agree with my constituent, Nick Jones, who wrote to me on Friday—I have never met or spoken to him—about the Prime Minister’s advice on switching? He saved £611 a year on his gas and electricity costs. He was prompted to look at his phone costs and saved a further £230. He said: ""QUOTATION"". Is not switching a better approach than trying to fix the market, which is the mad-cap scheme proposed by the Opposition? nan nan",Negative,Output: Positive
"It is a pleasure to contribute to this important debate. It is clear from my perspective that our rural communities and rural economy have not fared well during our time as a member of the European Union. There is one thing that was even worse for the rural economy than being part of the EU, and that was 13 years of Labour Government. It is quite laughable that the Labour Front-Bench spokesman suggested that rural Britain has something to fear from a Tory Government, because I can tell the House from Cornwall that 13 years of Labour did no favours to our rural economy. We need to understand that leaving the EU presents some great opportunities for rural Britain. As has been mentioned, much of our rural economy is dominated by agriculture and fishing and neither have been able to thrive in the way that I believe they can while we have been part of the EU. The one-size-fits-all common agricultural policy and common fisheries policy in which we have to take into consideration all 28 member ​states simply does not work for Britain. The British countryside is unique; there is nowhere like it in the European Union and leaving the EU presents us with an opportunity to develop policies for agriculture and fisheries and to manage and invest in our countryside in a way that will be fit for the British countryside and British rural communities. I believe that that great opportunity is facing us now that we have decided to leave, and we can make the most of it. I am often asked what will replace the European funding—the hundreds of millions of pounds that we have had from the EU, or should I say through the EU, for Cornwall. Let us remember that that money is British taxpayers' money that is recycled through the European Union and comes with strings attached under heavy bureaucracy, so we are unable to invest it in the things that we really need to invest it in. Leaving the EU will give us an opportunity to have a regional development fund fit for the UK and fit for Cornwall. We will be able to spend it on the things that we want to spend it on and the things that Cornwall needs us to spend it on without the bureaucracy, box ticking and form filling that so many businesses find is needed just to qualify for the grant. I am confident that Cornwall and rural communities across Britain will have the opportunity to thrive and trade with the world once again. We seem to think that once we leave the EU it will suddenly stop wanting to buy our world-class produce. Of course the EU will still want Cornish clotted cream and Cornish seafood, but this will give us the opportunity to trade with the emerging markets around the world, such as China, where there is a growing demand. I am confident— nan",Negative,positive
"Does my hon. Friend accept that that was the precedent that started the ball rolling for all the disputes that came after? That dispute set the goal, which is why it is important to have transparency. After that court case came ‘74, ‘84, and the miners’ strike—the legal position changed at that point. nan nan nan nan",Positive,Output: Neutral
"Teachers in the borough of Hounslow have achieved amazing results over the last 10 or more years. Almost all our schools are good or outstanding, and value-added is positive in every school. That is in a borough where all schools and all classrooms contain children with additional needs of some kind-children who arrive not speaking English, children with disabilities and special educational needs, children who are homeless and keep having to move on or who are sofa surfing with their parents, and children with many other needs. Most of our schools suffer from severe aircraft noise from planes approaching Heathrow. The overall savings proposed by the Department for Education for schools in my constituency by 2018-19–a combination of the national funding formula and the wider cost pressures that they face now–amount to £5.1 million. That is a 6.2% cut. The existing cost pressures include, as other Members have mentioned, inflation, the apprenticeship levy, pension and national insurance costs, the requirement for independent careers advice, and more children with special needs in our mainstream schools. As in the Secretary of State's constituency, the cost pressures that my heads face will mean, on the whole, fewer teachers and support staff, plus other cuts. We have established that each of our secondary schools will have to lose between nine and 18 teachers, and primary schools will have to have up to 11 fewer teachers. Fewer subjects will be taught at key stages 4 and 5, there will be fewer external visits and fewer specialists will come in to teach and enthuse children about future jobs and careers, staying safe or other specialist issues that we want our children to learn about and get their heads around. There will be less specialist and individual support for children who have additional needs, who do not speak English, who are very gifted or who have mental health problems and need counselling. Agency costs for supply teachers, as our headteachers face the recruitment and retention crisis that is affecting all subject areas, will add to the salary bill. In classrooms where there are children who need additional attention, teachers and children will feel the impact of the cuts every day. More classes will be taught with only one adult-the class teacher-in the room. The lack of additional support is a cost for every child in the classroom, both those who have additional needs and those who do not. The cuts will mean that less is spent on repairing buildings, improving outdoor space or buying the equipment and materials that the curriculum requires. nan",Positive,Negative
"Will my hon. Friend join me in welcoming the fact that in the north-east the balance of trade is positive, and a large contributory ​factor in that was the steel industry on Teesside? Does he share my disappointment—in fact, my anger and frustration—that the Government failed to do anything to step in to save steelmaking on Teesside? Looking forward, will he also help to put pressure on the Government to ensure that China does not get market economy status, which could put the final nail in the coffin of the national steel industry in this country? nan nan nan nan",Positive,Output: Positive
"The hon. and learned Lady is making a wonderful case for the contribution that EU nationals make to Scottish and British public life; we must be much more confident in making that case. Does she agree that we should consider not just about the contribution that they make, but in which particular sectors, such as the one she is about to come to in her speech? For example, 25% of the staff of the Edinburgh University King's Buildings, our world-renowned science institute, are EU nationals. They need the certainty that they can stay so that Edinburgh can stay in the top 100 universities around the world. I am very grateful to the hon. and learned Lady for giving way again. Again, I emphasise that she is making a compelling speech. Do the Government not have to look at the will of this House, which in July voted by 245 votes to two to do the very thing for which her motion asks? Rather than making xenophobic speeches at the Conservative party conference, they should abide by the will of this House and do what this House has voted for already. nan nan nan",Positive,Negative
"This is the third opportunity we have had to debate this important matter in the Chamber and Westminster Hall. Notwithstanding the mistakes of the past or who made them, the Government have an opportunity to do the right thing by the women of this country. Why do they not just grasp the opportunity with both hands and deliver that for those women? nan nan nan nan",Positive,Output: Positive
"I try not to take it personally that, having arrived so recently, the Prime Minister is that desperate to get rid of me that she is calling an election. Does my right hon. Friend agree that the Prime Minister, in calling this election, has essentially said that she does not have confidence in her own Government to deliver a Brexit deal for Britain? One way in which she could secure my vote and the votes of my hon. Friends is to table a motion of no confidence in her Government, which I would happily vote for. nan nan nan",Negative,Output: Negative
"Unsurprisingly, speaking as a fellow Welsh Member, I think that the hon. Gentleman is painting a rather bleak picture of the education system in Wales. He talks about Estyn, but does he not acknowledge that the Conservative-led county council for his own constituency was put into special measures by Estyn because of weak leadership? The quotes from Leighton Andrews and Huw Lewis are a considerable number of years out of date. Over the past five years, there have been improvements to GCSE and A-level results, and the gap has closed significantly because of underperformance in England and improved performance in Wales. nan nan nan nan",Positive,Negative
"I congratulate the Prime Minister on her appointment. I shall be voting for the motion this evening because I believe that the historical role of the Labour party and Labour Governments has been on the right side of this issue. I love the fact that she is showing strong support for NATO, but there is a niggle: have we the capacity and resources to maintain conventional forces to the level that will match our other forces? nan nan nan nan",Positive,Output: positive
"My constituency has some spectacular primary schools and some outstanding secondary schools, but as I go around the schools in my constituency, I find that too many young people are let down at the secondary stage of their education. They come out of primary school with very good results, but slip back over their five years in secondary school. What is the Education Secretary going to do about standards in secondary education as well as in primary? My hon. Friend makes an important point about partnership. Where the tone of this debate has gone wrong today is that we have had comments like ""QUOTATION"", ""QUOTATION"", ""QUOTATION"", and ""QUOTATION"". However, we owe it to our schools and teachers to work in partnership, because we all want our children to succeed, standards to improve and the United Kingdom to rise in the global league tables. nan nan nan",Positive,Output: Positive
"My hon. Friend has already mentioned the problems for women over 50. Does she appreciate that for all women, but especially those over 50, unemployment has a huge impact on their capacity to retire and save for retirement? We are not just saying to women, ""QUOTATION""; we are blighting their lives with poverty into old age and with the need to apply for benefits in old age. If they were working now, they could save for their old age. I apologise for interrupting my hon. Friend’s powerful speech again. On Friday evening, a lady who works in a food bank in my constituency told me that people were turning down rice and pasta on the grounds that they could not afford the amount of fuel needed to cook it. Are we not in a dreadful position when people are turning away food that they cannot even afford to cook? nan nan nan",Positive,Negative
"My hon. Friend mentioned the difficulties caused by the lack of government funding to recognise rural sparsity. Like him, I represent a rural constituency in Gloucestershire, and it faces a double whammy. The difficulty of providing a force in rural areas is not recognised, and the fact that our force is both small and efficient means that efficiency savings are difficult to find. nan nan nan nan",Negative,Output: Negative
"I hope that the Minister will stop messing about and answer my question. The Devon fire and rescue service will set its own precept for the first time this year, and I am very worried that the formula set out by the Government will have an adverse effect, not least because Devon has more retained firefighters than any other county. Meeting the pay award for retained firefighters will account for 23 per cent. of the budget, not 16 per cent. If Devon had received the national average amount, it would not suffer the projected budget shortfall that people fear will cause fire station closures, especially in rural areas. The £2 million that is the difference between what Devon will get and the national average would have resolved the problem. Without going back into history, will the Minister say something about the future of Devon's fire and rescue services? On a point of order, Madam Deputy Speaker. Will you arrange for a master class to be held on the subject so that we may get on with the debate? nan nan nan",Negative,Negative
"I rise to support my hon. Friend the Member for North Wiltshire, who has been fighting the good fight to maintain the 1,000-year tradition of using vellum for the printing and preservation of Acts of Parliament. I confess that I have a vested interest: I successfully took a private Member's Bill through this place and it became an Act of Parliament. However, you will be pleased to hear, Mr Speaker, that there will be no jokes about Peter Pan and Wendy this evening. When I first came to this place, I was—I often still am—bemused by its many traditions, but they are an integral part of everything that makes this place the mother of all Parliaments. The use of vellum is one such tradition. In a world of fast-moving technology, which we have heard about this afternoon, and of improvements in printing and processing techniques, and document storage, I agree that it is only right to review the practices for printing record copies of public Acts. Some might call me a dinosaur, but I do not think that there is anything wrong with holding on to a tradition of history. Printing on vellum is a long-standing tradition. Record copies of public Acts have been printed on vellum since 1849. Vellum is far more durable than paper, even archival paper. Without vellum, as we have heard, we would not have Magna Carta, the Domesday Book, the Lindisfarne documents or many other important historical documents. Time is pressing, so I will conclude my comments there, except to add that the anticipated savings do not justify a departure from this long-standing tradition. Although the world is, indeed, changing, it is important that we do not lose some of our great traditions, so we should not let the use of vellum simply die out. nan",Positive,Positive
"The issue we are debating is not whether what the hon. Gentleman is saying is correct, or whether what is being said by Opposition Members is correct. If the papers were to be released, we would be able to make that judgment, and that is what we are calling for in this debate. nan nan nan",Positive,Negative
"What is unique about this situation, as has been mentioned several times, is that a disproportionate number ​of the nurses using the bursary scheme enter as mature students, including three of my nieces. If bursaries were not available to them, they would not have gone on to train as excellent nurses. nan nan nan nan",Positive,Output: Positive
"The Minister will be aware that one of the particular challenges that the Essex force faces is the drain of officers to the Met. It also faces the challenge of additional national insurance costs from April, and additional pension costs. The right hon. Gentleman knows that Essex police authority had a very tough settlement this year. How does he expect the force to continue to fight crime effectively if he will not give it the resources to do the job? nan nan nan nan",Negative,Negative
"It seems to me that our debate so far has been more about the Government's intentions, the Parliament Act and some of the internal problems of the parliamentary Labour party than about the programme motion itself. I wish to make one simple point about that motion. We completed Committee stage—I think that my hon. and learned Friend the Member for Harborough was wrong: we did complete consideration of the Bill during the time available—on, if memory serves, 27 February. I think we probably did, but never mind. The fact is that we completed our consideration on 27 February and the Government have had the Bill for the whole of March, April, May and June, yet after all the time spent in the Standing Committee—estimates differ: some say 70 hours, some 100, but it was certainly an awful lot of hours—we are now being given about four and a half hours in practice to consider the Bill on the Floor of the House. That is unacceptably short, on two grounds in particular. First, there is new evidence in relation to the utility test: the study by the university of Kent. The House should have the opportunity to consider that new evidence on biodiversity. Secondly, there is new evidence from the middle way group on the effects of shooting foxes, which the House should also have a decent amount of time to consider. Four or so hours is simply not good enough. I have a practical suggestion–sadly, the Government Whip whose business this is is not in his place to hear it. My suggestion is that the Government abandon the programme motion and lift the 10 o'clock rule and instead go for closure on each group of amendments. It would not take for ever– Labour Members laugh, but I imagine that the Chair would take a very dim view of any attempt to filibuster during debate on the individual groups. Let us do this properly and give the House time for consideration. The first group of amendments is the biggest and the busiest and it is my guess that that group will take most of the time available to the House for Report stage. As we go down the selection list, the groups become less and less time consuming, and I am sure that in the spirit of good will the House would give each the serious consideration it deserves. Lift the 10 o'clock rule. I entirely agree that the effect of voting for the programme motion would be to deny debate on such subjects. I am sure that the House would respond reasonably to being given a reasonable amount of time for debate. We should resist the programme motion.",Negative,Negative
"I would be very happy to have a referendum as I have wanted one for years, but why did the Prime Minister ignore the views expressed in the letter from the leaders of the three Assemblies and Parliaments in the United Kingdom? Did that not show huge disrespect? The Minister may be coming on to this, but will he clarify very clearly and succinctly how this will affect Government spending? I do not mean the Government, but the Cabinet members who support staying in as opposed to those who do not. How will that work for them? I am sorry; I am not a Minister yet. I know that the hon. Gentleman and I are on different sides, but I agree with him that this should be a positive campaign. May I return him to the issue of what I consider to be the hugely important letter that was signed by the First Ministers of the three home countries, all of whom had different views on the European Union? Does it not shame the Government that they showed so little respect–for respect is the word–by simply throwing that letter away and implying that it meant absolutely nothing? nan",Negative,Negative
"I congratulate the hon. Gentleman on making some very compelling points. We have a similar situation in Northern Ireland where 80% of farm incomes are dependent on European resources. Does he agree that there is a fear that that sort of funding is not likely to come from the Treasury, thus undermining our local rural economy and our agricultural enterprises? nan nan nan nan",Positive,Output: positive
"Does the right hon. Gentleman accept that in such situations, police dogs and horses are sometimes attacked and that police officers can be bitten and spat at? Does he agree that people who spit at and bite police officers should be automatically given blood tests to check whether they have transmittable diseases and that there should be sanctions for people who attack police dogs and horses? nan nan nan nan",Positive,Negative
"Is the hon. Lady unaware or simply ignoring the fact that the AWB was debated at length during the consideration of the Public Bodies Bill in both Houses of Parliament? Secondly, is she aware of the impact assessment's conclusion that current wage levels are generally above the minimum, and that, with wage-setting practices and modern working practices in agriculture, wages are unlikely to be eroded, as farmers will need to attract their workers? That was its conclusion. Obviously the laws already exist to enable the Health and Safety Executive to fine employers, in every sector of the economy, when they break the law. Does the hon. Lady not accept that she is perpetrating the myth that farmers set out to exploit their workers? The vast majority of farmers listening to the debate today would be affronted by that suggestion. nan nan nan",Negative,Negative
"I must take issue with the hon. Gentleman, as my constituency has recently had a massive infrastructure investment in its roads and railway stations. That is paving the way for a new strategic employment site, which will open up the opportunity for thousands of jobs, all of which is helping the economy and our productivity. I am sorry but I disagree with very much of what he is saying. I am interested in what the hon. Gentleman is saying. The Government are offering many budgets and grants and I will highlight one, which is the agri-tech budget. That is seedcorn money for linking agricultural projects with business. In my constituency, for example, we have a wonderful clothmaker, Fox Brothers, which has received money to do research with the local agricultural college to come up with the right wool on the right ​sheep to produce beautiful clothes. That will help business, and perhaps the Scottish might learn from it, as I know they also have a lot of sheep. Might my hon. Friend make reference to the Great British food unit that the Department for Environment, Food and Rural Affairs is setting up and our long-term plan for promoting British food abroad? That has already made great strides, with chicken legs going to China and pigs’ trotters following, and I have to mention cider from Taunton Deane. There is so much scope to what he is discussing, and perhaps he could include a bit more of it. nan nan",Negative,positive
"My hon. Friend talks of consistency and indeed the middle way group have at least been consistent, but does he agree that a body that has been spectacularly, if predictably, inconsistent is the Liberal Democrat party? The hon. Member for St. Ives, who said that he disapproved of what happened last night, abstained on both new clauses 11 and 14. Is he aware of any morning-after pill that the Liberal Democrats— nan nan nan nan",Negative,Negative
"The right hon. Gentleman is right to talk about prime ministerial accountability to this House, and he is making a powerful case, but is not the real lesson from Chilcot the need for a policy response from the Government to ensure that this kind of thing does not happen again? For example, the creation of the National Security Council was a policy response from the Government to ensure that we have better information sharing and that decision making in Government is improved. Is that not the critical point in this debate? nan nan nan nan",Positive,Output: Positive
"I thank my right hon. Friend for giving way. In the past, we in Suffolk have had to accept a funding discrepancy of about £180,000 between a high school in south Suffolk and one in Essex. The changes that he has made to the area cost adjustment approach in spreading it out more gently outside London has gone some way to reduce that disparity. I am sure that colleagues in Suffolk and beyond will welcome that change. nan nan nan nan",Positive,Output: Positive
"This is the last of my chances over the past few weeks to put the case as an Ulster Unionist that not all Unionists are for leaving–the Ulster Unionist party is for staying in, although it is a free vote for the others. I am proud to be part of the Northern Irish team that wants to remain, along with the Social Democratic and Labour party, the Alliance and Sinn Féin, although we all have slightly different views. As we have heard, we all need to pull together if we are to remain. The public are fed up with the battling, the bullying and the hyping; they just want–in so far as they can–to have the facts on the table, to know how they will be affected and to have a chance to vote. We have to let them decide, and then things fall to us. I say, as a Unionist, that we all have to work together. My greatest concern in this whole debate is that the Union may fall apart if we leave the EU. If Scotland, as SNP Members have indicated today, does its own thing, Northern Ireland will be stuck out there in the north-west, with Ireland on a different set of rules and Scotland on a different set of rules. We will then be coming to England for help whenever we need it, although I do not want Northern Ireland to carry on holding out a begging bowl. When it comes to the economy, I am proud to have been on a Northern Ireland Affairs Committee that produced a balanced document, given that seven of its members were for out, and all the others were for in, and I recommend that document to everyone. However, the key point for me was when an Italian hedge funder told me, ""QUOTATION"". That is the north, Scotland and all sorts of other places. We need to pull together. The Union should pull together. The last point I want to make is that, when we go to the Somme and see the countryside and all the graves, we realise that there was not just that war–there was Waterloo, Agincourt and all the other European wars. Our duty is to lead and to be in there, showing people how to do things, pulling them all together, changing what needs to be changed, and not having the bloodbaths we had in the past. That is why I want to stay in. nan",Positive,Negative
"I know that a day is a long time in politics, but my right hon. Friend said last night that he could not, in all conscience, vote for the full ban on hunting. How can he now, as a Minister, so wholeheartedly ask people to go into Committee and support the Bill? nan nan nan nan",Negative,Negative
